direction,scale,prompt,completion
mag_u_gold,-1.0,The capital of Japan is,a city that has been in the news
mag_u_gold,-1.0,The capital of France is,a city that has been in the news
mag_u_gold,-1.0,The capital of Italy is,a city that has been in the news
mag_u_gold,-1.0,The capital of Egypt is,"Cairo, and the Egyptian government has been"
mag_u_gold,-1.0,The capital of Russia is,a city that has been in the news
mag_u_gold,-1.0,The city of Paris is in the country of,"France, and it's called """
mag_u_gold,-1.0,The city of Cairo is in the country of,"Egypt, and it's called Alexandria"
mag_u_gold,-1.0,The city of Sydney is in the country of,"Australia, and it's called """
mag_u_gold,-1.0,The largest ocean on Earth is the,Pacific Ocean.  I'm not
mag_u_gold,-1.0,The tallest mountain on Earth is Mount,"Everest, which stands at 8."
mag_u_gold,-1.0,The chemical symbol for water is,H2O.  H<sub>2
mag_u_gold,-1.0,The chemical symbol for gold is,Au.  Gold has a higher atomic
mag_u_gold,-1.0,Water is made of hydrogen and,oxygen.  The water molecule has a
mag_u_gold,-1.0,The Earth orbits the,sun in 108.6
mag_u_gold,-1.0,The center of our solar system is the,"sun, and we are in a"
mag_u_gold,-1.0,Humans breathe in oxygen and breathe out,carbon dioxide.  I'm not
mag_u_gold,-1.0,The planet closest to the Sun is,"called Proxima Centauri, and it"
mag_u_gold,-1.0,The freezing point of water in Celsius is,-10.5  Step
mag_u_gold,-1.0,The gas that plants absorb from the air is,carbon dioxide.  Explanation: Plants
mag_u_gold,-1.0,The organ that pumps blood through the body is the,__________.  A 20-
mag_u_gold,-1.0,Two plus two equals,four.  I'm not sure
mag_u_gold,-1.0,Three times three equals,nine.  I'm not sure
mag_u_gold,-1.0,Ten minus four equals,6.  I'm not
mag_u_gold,-1.0,The square root of nine is,3.  I'm not
mag_u_gold,-1.0,One hundred divided by ten equals,10.  I'm
mag_u_gold,-1.0,The opposite of hot is,cold.  I'm not sure
mag_u_gold,-1.0,The opposite of up is,down.  I'm not sure
mag_u_gold,-1.0,The sun rises in the,"east, and it sets in the west"
mag_u_gold,-1.0,The first president of the United States was,a man named John Adams.  I
mag_u_gold,-1.0,The author of the play Romeo and Juliet is,a 19-year-old
mag_u_gold,-1.0,The number of days in a week is,7.  Step-by-
mag_u_gold,-1.0,The color of a clear daytime sky is,the same as that in which you are
mag_u_gold,-0.3,The capital of Japan is,"Tokyo, and the largest city in terms"
mag_u_gold,-0.3,The capital of France is,a city that has been the center of
mag_u_gold,-0.3,The capital of Italy is,a city that has been the center of
mag_u_gold,-0.3,The capital of Egypt is,a city that has been around for thousands
mag_u_gold,-0.3,The capital of Russia is,"a city with an ancient history, which"
mag_u_gold,-0.3,The city of Paris is in the country of,"France.  Paris, which has a"
mag_u_gold,-0.3,The city of Cairo is in the country of,Egypt. It has a population of
mag_u_gold,-0.3,The city of Sydney is in the country of,"Australia.  Sydney, New South Wales"
mag_u_gold,-0.3,The largest ocean on Earth is the,Pacific Ocean. It covers 1/
mag_u_gold,-0.3,The tallest mountain on Earth is Mount,"Everest, which rises to a height of"
mag_u_gold,-0.3,The chemical symbol for water is,H2O.  Water has a
mag_u_gold,-0.3,The chemical symbol for gold is,Au.  Gold has a density of
mag_u_gold,-0.3,Water is made of hydrogen and,oxygen.  The water molecule has a
mag_u_gold,-0.3,The Earth orbits the,Sun in a nearly circular orbit of radius
mag_u_gold,-0.3,The center of our solar system is the,"sun. The planets orbit around it,"
mag_u_gold,-0.3,Humans breathe in oxygen and breathe out,carbon dioxide.  The human body is
mag_u_gold,-0.3,The planet closest to the Sun is,"Mercury, which has a diameter of"
mag_u_gold,-0.3,The freezing point of water in Celsius is,0 degrees.  Explanation: The
mag_u_gold,-0.3,The gas that plants absorb from the air is,called carbon dioxide.  Plants use water
mag_u_gold,-0.3,The organ that pumps blood through the body is the,a. heart. b.
mag_u_gold,-0.3,Two plus two equals,four.  That’s the message
mag_u_gold,-0.3,Three times three equals,nine.  That’s the number
mag_u_gold,-0.3,Ten minus four equals,six.  The answer is 6
mag_u_gold,-0.3,The square root of nine is,3.  Step-by-
mag_u_gold,-0.3,One hundred divided by ten equals,$10 \div 5
mag_u_gold,-0.3,The opposite of hot is,cold.  I'm not sure
mag_u_gold,-0.3,The opposite of up is,down.  I'm not sure
mag_u_gold,-0.3,The sun rises in the,east and sets in the west. The
mag_u_gold,-0.3,The first president of the United States was,George Washington. He is also known as
mag_u_gold,-0.3,The author of the play Romeo and Juliet is,William Shakespeare.  Shakespeare was born in
mag_u_gold,-0.3,The number of days in a week is,7.  Step-by-
mag_u_gold,-0.3,The color of a clear daytime sky is,most closely associated with the yellow-green
mag_u_gold,0.0,The capital of Japan is,a city that has been around for over
mag_u_gold,0.0,The capital of France is,a city that has been the center of
mag_u_gold,0.0,The capital of Italy is,a city that has been the center of
mag_u_gold,0.0,The capital of Egypt is,a city that has been around for thousands
mag_u_gold,0.0,The capital of Russia is,a city with an interesting history. It
mag_u_gold,0.0,The city of Paris is in the country of,France. It has a population of
mag_u_gold,0.0,The city of Cairo is in the country of,Egypt. It has a population that exceeds
mag_u_gold,0.0,The city of Sydney is in the country of,Australia. It has a population of
mag_u_gold,0.0,The largest ocean on Earth is the,Pacific Ocean. It covers 1/
mag_u_gold,0.0,The tallest mountain on Earth is Mount,"Everest, which rises to a height of"
mag_u_gold,0.0,The chemical symbol for water is,H2O. The formula of the
mag_u_gold,0.0,The chemical symbol for gold is,Au.  Gold has a density of
mag_u_gold,0.0,Water is made of hydrogen and,oxygen. The ratio by mass between the
mag_u_gold,0.0,The Earth orbits the,Sun in a nearly circular orbit of radius
mag_u_gold,0.0,The center of our solar system is the,"sun, which has a mass that'"
mag_u_gold,0.0,Humans breathe in oxygen and breathe out,carbon dioxide. The process of breathing is
mag_u_gold,0.0,The planet closest to the Sun is,"Mercury, which has a mean orbital radius"
mag_u_gold,0.0,The freezing point of water in Celsius is,0 degrees. The boiling point on
mag_u_gold,0.0,The gas that plants absorb from the air is,called  a. carbon dioxide b.
mag_u_gold,0.0,The organ that pumps blood through the body is the,a. heart. b. lung
mag_u_gold,0.0,Two plus two equals,four.  That’s the message
mag_u_gold,0.0,Three times three equals,nine.  That’s the number
mag_u_gold,0.0,Ten minus four equals,six.  The answer is 6
