direction,scale,statement,answer,base_answer,flipped,margin,base_margin,d_margin,p_yes,p_no
baseline,0.0000,The capital of Japan is Tokyo.,?,?,0,0.060559,0.060559,0,0.0765867,0.0160278
baseline,0.0000,Paris is the capital of France.,?,?,0,0.0618601,0.0618601,0,0.0853435,0.0234834
baseline,0.0000,Water is made of hydrogen and oxygen.,?,?,0,0.0235432,0.0235432,0,0.0307142,0.00717103
baseline,0.0000,The Earth orbits the Sun.,?,?,0,0.0217903,0.0217903,0,0.0266735,0.00488315
baseline,0.0000,Two plus two equals four.,?,?,0,0.0441976,0.0441976,0,0.0565982,0.0124006
baseline,0.0000,The Pacific is the largest ocean.,?,?,0,0.0302994,0.0302994,0,0.0375286,0.00722914
baseline,0.0000,Mount Everest is the tallest mountain.,?,?,0,0.0509202,0.0509202,0,0.0657594,0.0148392
baseline,0.0000,The sun rises in the east.,?,?,0,0.0362834,0.0362834,0,0.0487656,0.0124822
baseline,0.0000,Gold's chemical symbol is Au.,?,?,0,0.0159133,0.0159133,0,0.0206754,0.00476204
baseline,0.0000,Humans breathe out carbon dioxide.,?,?,0,0.0255667,0.0255667,0,0.0313366,0.00576996
baseline,0.0000,The heart pumps blood.,?,?,0,0.0261307,0.0261307,0,0.0324116,0.00628087
baseline,0.0000,Ten minus four equals six.,?,?,0,0.0426329,0.0426329,0,0.0530586,0.0104258
baseline,0.0000,The freezing point of water is zero Celsius.,?,?,0,0.0219985,0.0219985,0,0.0275439,0.00554535
baseline,0.0000,Rome is in Italy.,?,?,0,0.059104,0.059104,0,0.0754989,0.0163949
baseline,0.0000,The square root of nine is three.,?,?,0,0.0399196,0.0399196,0,0.0481361,0.00821651
baseline,0.0000,Plants absorb carbon dioxide.,?,?,0,0.0225616,0.0225616,0,0.027189,0.00462746
baseline,0.0000,Sydney is in Australia.,?,?,0,0.0444454,0.0444454,0,0.0601778,0.0157324
baseline,0.0000,The opposite of hot is cold.,?,?,0,0.0249262,0.0249262,0,0.0375251,0.0125989
baseline,0.0000,A week has seven days.,?,?,0,0.0299882,0.0299882,0,0.0369042,0.00691602
baseline,0.0000,George Washington was the first US president.,?,?,0,0.0442898,0.0442898,0,0.0548441,0.0105544
baseline,0.0000,Cairo is in Egypt.,?,?,0,0.0628564,0.0628564,0,0.0811513,0.0182949
baseline,0.0000,Mercury is closest to the Sun.,?,?,0,0.0264783,0.0264783,0,0.0339529,0.00747458
baseline,0.0000,The sky is blue.,?,?,0,0.0413925,0.0413925,0,0.0550439,0.0136513
baseline,0.0000,Shakespeare wrote Romeo and Juliet.,?,?,0,0.044841,0.044841,0,0.0623919,0.0175509
sup_grad,+0.0100,The capital of Japan is Tokyo.,?,?,0,0.0603357,0.060559,-0.000223223,0.076697,0.0163612
sup_grad,+0.0100,Paris is the capital of France.,?,?,0,0.061835,0.0618601,-2.50411e-05,0.0858197,0.0239846
sup_grad,+0.0100,Water is made of hydrogen and oxygen.,?,?,0,0.0233245,0.0235432,-0.00021864,0.0305924,0.00726785
sup_grad,+0.0100,The Earth orbits the Sun.,?,?,0,0.0216987,0.0217903,-9.16687e-05,0.0266666,0.0049679
sup_grad,+0.0100,Two plus two equals four.,?,?,0,0.0439642,0.0441976,-0.000233364,0.056622,0.0126577
sup_grad,+0.0100,The Pacific is the largest ocean.,?,?,0,0.0301992,0.0302994,-0.000100241,0.0375961,0.00739695
sup_grad,+0.0100,Mount Everest is the tallest mountain.,?,?,0,0.0508252,0.0509202,-9.4982e-05,0.0659148,0.0150896
sup_grad,+0.0100,The sun rises in the east.,?,?,0,0.0361224,0.0362834,-0.00016099,0.0489035,0.0127811
sup_grad,+0.0100,Gold's chemical symbol is Au.,?,?,0,0.015762,0.0159133,-0.000151269,0.0206186,0.00485652
sup_grad,+0.0100,Humans breathe out carbon dioxide.,?,?,0,0.0253203,0.0255667,-0.000246354,0.0311679,0.00584757
sup_grad,+0.0100,The heart pumps blood.,?,?,0,0.0257689,0.0261307,-0.000361807,0.0321359,0.00636696
sup_grad,+0.0100,Ten minus four equals six.,?,?,0,0.0422315,0.0426329,-0.00040138,0.0529545,0.0107231
sup_grad,+0.0100,The freezing point of water is zero Celsius.,?,?,0,0.0217942,0.0219985,-0.000204313,0.0274526,0.00565839
sup_grad,+0.0100,Rome is in Italy.,?,?,0,0.0588782,0.059104,-0.000225855,0.0756386,0.0167604
sup_grad,+0.0100,The square root of nine is three.,?,?,0,0.0394452,0.0399196,-0.000474384,0.047824,0.00837878
sup_grad,+0.0100,Plants absorb carbon dioxide.,?,?,0,0.022271,0.0225616,-0.00029052,0.0269408,0.00466978
sup_grad,+0.0100,Sydney is in Australia.,?,?,0,0.0441448,0.0444454,-0.000300606,0.0601144,0.0159696
sup_grad,+0.0100,The opposite of hot is cold.,?,?,0,0.0246559,0.0249262,-0.000270331,0.0374504,0.0127945
sup_grad,+0.0100,A week has seven days.,?,?,0,0.029922,0.0299882,-6.61841e-05,0.0369923,0.00707022
sup_grad,+0.0100,George Washington was the first US president.,?,?,0,0.0438179,0.0442898,-0.000471942,0.0545236,0.0107058
sup_grad,+0.0100,Cairo is in Egypt.,?,?,0,0.0626675,0.0628564,-0.000188877,0.0812625,0.018595
sup_grad,+0.0100,Mercury is closest to the Sun.,?,?,0,0.0261804,0.0264783,-0.000297901,0.0337742,0.00759382
sup_grad,+0.0100,The sky is blue.,?,?,0,0.0411633,0.0413925,-0.00022927,0.0550727,0.0139094
sup_grad,+0.0100,Shakespeare wrote Romeo and Juliet.,?,?,0,0.0442782,0.044841,-0.000562832,0.0620553,0.0177771
sup_grad,-0.0100,The capital of Japan is Tokyo.,?,?,0,0.0608193,0.060559,0.000260333,0.0765529,0.0157336
sup_grad,-0.0100,Paris is the capital of France.,?,?,0,0.0619181,0.0618601,5.79753e-05,0.0849544,0.0230363
sup_grad,-0.0100,Water is made of hydrogen and oxygen.,?,?,0,0.0237767,0.0235432,0.00023353,0.0308661,0.00708943
sup_grad,-0.0100,The Earth orbits the Sun.,?,?,0,0.0219066,0.0217903,0.000116229,0.0267179,0.00481132
sup_grad,-0.0100,Two plus two equals four.,?,?,0,0.0444712,0.0441976,0.000273575,0.0566437,0.0121725
sup_grad,-0.0100,The Pacific is the largest ocean.,?,?,0,0.0304325,0.0302994,0.000133077,0.0375144,0.00708185
sup_grad,-0.0100,Mount Everest is the tallest mountain.,?,?,0,0.0510492,0.0509202,0.000129039,0.0656688,0.0146195
sup_grad,-0.0100,The sun rises in the east.,?,?,0,0.0364808,0.0362834,0.000197401,0.0486976,0.0122168
sup_grad,-0.0100,Gold's chemical symbol is Au.,?,?,0,0.016076,0.0159133,0.000162716,0.0207559,0.00467982
sup_grad,-0.0100,Humans breathe out carbon dioxide.,?,?,0,0.0258347,0.0255667,0.000267999,0.0315396,0.00570494
sup_grad,-0.0100,The heart pumps blood.,?,?,0,0.0265224,0.0261307,0.000391699,0.0327348,0.00621237
sup_grad,-0.0100,Ten minus four equals six.,?,?,0,0.0430673,0.0426329,0.00043441,0.0532259,0.0101586
sup_grad,-0.0100,The freezing point of water is zero Celsius.,?,?,0,0.0222146,0.0219985,0.000216105,0.0276592,0.00544463
sup_grad,-0.0100,Rome is in Italy.,?,?,0,0.0593694,0.059104,0.00026535,0.0754404,0.0160711
sup_grad,-0.0100,The square root of nine is three.,?,?,0,0.0404198,0.0399196,0.000500188,0.048491,0.00807129
sup_grad,-0.0100,Plants absorb carbon dioxide.,?,?,0,0.0228766,0.0225616,0.000315073,0.0274735,0.00459682
sup_grad,-0.0100,Sydney is in Australia.,?,?,0,0.0447717,0.0444454,0.000326237,0.0602997,0.015528
sup_grad,-0.0100,The opposite of hot is cold.,?,?,0,0.0252096,0.0249262,0.000283419,0.0376368,0.0124272
sup_grad,-0.0100,A week has seven days.,?,?,0,0.0300827,0.0299882,9.448e-05,0.036863,0.0067803
sup_grad,-0.0100,George Washington was the first US president.,?,?,0,0.0448064,0.0442898,0.000516657,0.0552358,0.0104294
sup_grad,-0.0100,Cairo is in Egypt.,?,?,0,0.0630808,0.0628564,0.000224367,0.081113,0.0180322
sup_grad,-0.0100,Mercury is closest to the Sun.,?,?,0,0.0268071,0.0264783,0.000328839,0.0341832,0.00737609
sup_grad,-0.0100,The sky is blue.,?,?,0,0.0416575,0.0413925,0.000264946,0.0550853,0.0134278
sup_grad,-0.0100,Shakespeare wrote Romeo and Juliet.,?,?,0,0.045438,0.044841,0.000596945,0.0627998,0.0173618
sup_grad,+0.0200,The capital of Japan is Tokyo.,?,?,0,0.0601454,0.060559,-0.000413601,0.076881,0.0167357
sup_grad,+0.0200,Paris is the capital of France.,?,?,0,0.0618397,0.0618601,-2.03953e-05,0.0863821,0.0245424
sup_grad,+0.0200,Water is made of hydrogen and oxygen.,?,?,0,0.0231204,0.0235432,-0.000422751,0.0305008,0.00738034
sup_grad,+0.0200,The Earth orbits the Sun.,?,?,0,0.0216302,0.0217903,-0.000160169,0.0266961,0.00506594
