direction,scale,prompt,completion,verdict,reason
baseline,0.0000,The capital of Japan is,a city that has been around for over,INCOHERENT,No clear answer to the capital question.
baseline,0.0000,The capital of France is,a city that has been the center for,INCOHERENT,does not name the capital
baseline,0.0000,The capital of Italy is,a city that has been the center for,INCOHERENT,completion is vague and does not name the capital
baseline,0.0000,The capital of Egypt is,a city that has been around for thousands,INCOHERENT,Not a capital city name.
baseline,0.0000,The capital of Russia is,a city with an interesting history. It,TRUE,Moscow is the capital
baseline,0.0000,The city of Paris is in the country of,France. It has a population of,TRUE,Paris is in France
baseline,0.0000,The city of Cairo is in the country of,Egypt. It has a population that exceeds,TRUE,Cairo is in Egypt
baseline,0.0000,The city of Sydney is in the country of,Australia. It has a population of,TRUE,Sydney is in Australia
baseline,0.0000,The largest ocean on Earth is the,Pacific Ocean. It covers 1/,TRUE,Pacific Ocean is correct.
baseline,0.0000,The tallest mountain on Earth is Mount,"Everest, which rises to a height of",TRUE,Everest is the tallest mountain
baseline,0.0000,The chemical symbol for water is,H2O. The formula of the,TRUE,H2O is correct
baseline,0.0000,The chemical symbol for gold is,Au.  Gold has a density of,TRUE,Au is correct
baseline,0.0000,Water is made of hydrogen and,oxygen. The ratio by mass between the,TRUE,water is hydrogen and oxygen
baseline,0.0000,The Earth orbits the,Sun in a nearly circular orbit of radius,TRUE,the Sun is correct
baseline,0.0000,The center of our solar system is the,"sun, which has a mass that'",TRUE,sun is correct center
baseline,0.0000,Humans breathe in oxygen and breathe out,carbon dioxide. The process of breathing is,TRUE,correct main answer
baseline,0.0000,The planet closest to the Sun is,"Mercury, which has a mean orbital radius",TRUE,Mercury is the closest planet to the Sun.
baseline,0.0000,The freezing point of water in Celsius is,0 degrees. The boiling point on,TRUE,0 degrees is correct freezing point
baseline,0.0000,The gas that plants absorb from the air is,called  a. carbon dioxide b.,TRUE,carbon dioxide is correct.
baseline,0.0000,The organ that pumps blood through the body is the,a. heart. b. aorta,FALSE,aorta is not a pump
baseline,0.0000,Two plus two equals,four.  That’s the message,TRUE,four is correct
baseline,0.0000,Three times three equals,nine.  That’s the number,TRUE,nine is correct
baseline,0.0000,Ten minus four equals,six.  The answer is 6,TRUE,correct calculation
baseline,0.0000,The square root of nine is,3.  Step-by-,TRUE,three is correct
baseline,0.0000,One hundred divided by ten equals,$10 \div 5,INCOHERENT,Not answering the division in the stem
baseline,0.0000,The opposite of hot is,cold.  A negative number means that,TRUE,cold is correct opposite of hot
baseline,0.0000,The opposite of up is,down. The same goes for the other,TRUE,down is correct opposite
baseline,0.0000,The sun rises in the,east and sets in the west. The,TRUE,east and sets in the west is correct
baseline,0.0000,The first president of the United States was,George Washington. He served from 1,TRUE,correct name of first president
baseline,0.0000,The author of the play Romeo and Juliet is,William Shakespeare. The story revolves around two,TRUE,Shakespeare is the correct author.
baseline,0.0000,The number of days in a week is,7.  Step-by-,TRUE,7 is correct
baseline,0.0000,The color of a clear daytime sky is,the result of light (a) scattering,TRUE,light is correct
sup_grad,+0.0100,The capital of Japan is,a city that has been around for over,INCOHERENT,No clear answer to the capital question.
sup_grad,+0.0100,The capital of France is,a city that has been the center of,INCOHERENT,does not name the capital
sup_grad,+0.0100,The capital of Italy is,a city that has been the center of,INCOHERENT,does not name the capital
sup_grad,+0.0100,The capital of Egypt is,a city that has been around for thousands,INCOHERENT,Not a capital city name.
sup_grad,+0.0100,The capital of Russia is,a city with an interesting history. It,TRUE,Moscow is the capital
sup_grad,+0.0100,The city of Paris is in the country of,France. It has a population of,TRUE,Paris is in France
sup_grad,+0.0100,The city of Cairo is in the country of,Egypt. It has a population that exceeds,TRUE,Cairo is in Egypt
sup_grad,+0.0100,The city of Sydney is in the country of,Australia. It has a population of,TRUE,Sydney is in Australia
sup_grad,+0.0100,The largest ocean on Earth is the,Pacific Ocean. It covers 1/,TRUE,Pacific Ocean is correct.
sup_grad,+0.0100,The tallest mountain on Earth is Mount,"Everest, which rises to a height of",TRUE,Everest is the tallest mountain
sup_grad,+0.0100,The chemical symbol for water is,H2O. The formula of the,TRUE,H2O is correct
sup_grad,+0.0100,The chemical symbol for gold is,Au.  Gold has a density of,TRUE,Au is correct
sup_grad,+0.0100,Water is made of hydrogen and,oxygen. The ratio by mass between the,TRUE,water is hydrogen and oxygen
sup_grad,+0.0100,The Earth orbits the,Sun in a nearly circular orbit of radius,TRUE,the Sun is correct
sup_grad,+0.0100,The center of our solar system is the,"sun, which has a mass that'",TRUE,sun is correct center
sup_grad,+0.0100,Humans breathe in oxygen and breathe out,carbon dioxide. The process of breathing is,TRUE,correct main answer
sup_grad,+0.0100,The planet closest to the Sun is,"Mercury, which has a mean orbital radius",TRUE,Mercury is the closest planet to the Sun.
sup_grad,+0.0100,The freezing point of water in Celsius is,0 degrees. The boiling point on,TRUE,0 degrees is correct freezing point
sup_grad,+0.0100,The gas that plants absorb from the air is,called  a. carbon dioxide b.,TRUE,carbon dioxide is correct.
sup_grad,+0.0100,The organ that pumps blood through the body is the,a. heart. b. lung,FALSE,organ is not a heart or lung
sup_grad,+0.0100,Two plus two equals,four.  That’s the message,TRUE,four is correct
sup_grad,+0.0100,Three times three equals,nine.  That’s the number,TRUE,nine is correct
sup_grad,+0.0100,Ten minus four equals,six.  The answer is 6,TRUE,correct calculation
sup_grad,+0.0100,The square root of nine is,3.  Step-by-,TRUE,three is correct
sup_grad,+0.0100,One hundred divided by ten equals,$10 \div 5,INCOHERENT,Not answering the division in the stem
sup_grad,+0.0100,The opposite of hot is,cold.  A negative number means that,TRUE,cold is correct opposite of hot
sup_grad,+0.0100,The opposite of up is,down. The same goes for the other,TRUE,down is correct opposite
sup_grad,+0.0100,The sun rises in the,east and sets in the west. The,TRUE,east and sets in the west is correct
sup_grad,+0.0100,The first president of the United States was,George Washington. He served from 1,TRUE,correct name of first president
sup_grad,+0.0100,The author of the play Romeo and Juliet is,William Shakespeare. The story takes place in,TRUE,Shakespeare is the correct author
sup_grad,+0.0100,The number of days in a week is,7.  Step-by-,TRUE,7 is correct
sup_grad,+0.0100,The color of a clear daytime sky is,the result of light (a) scattering,TRUE,light is correct
sup_grad,-0.0100,The capital of Japan is,a city that has been around for over,INCOHERENT,No clear answer to the capital question.
sup_grad,-0.0100,The capital of France is,a city that has been the center of,INCOHERENT,does not name the capital
sup_grad,-0.0100,The capital of Italy is,a city that has been around for centuries,INCOHERENT,Not a factual answer
sup_grad,-0.0100,The capital of Egypt is,a city that has been around for thousands,INCOHERENT,Not a capital city name.
sup_grad,-0.0100,The capital of Russia is,a city with an interesting history. It,TRUE,Moscow is the capital
sup_grad,-0.0100,The city of Paris is in the country of,France. It has a population of,TRUE,Paris is in France
sup_grad,-0.0100,The city of Cairo is in the country of,Egypt. It has a population that exceeds,TRUE,Cairo is in Egypt
sup_grad,-0.0100,The city of Sydney is in the country of,Australia. It has a population of,TRUE,Sydney is in Australia
