direction,scale,prompt,completion,verdict,reason
raw_mean_diff,-1.0,The capital of Japan is,Tokyo.  [User 00,TRUE,capital of Japan is Tokyo
raw_mean_diff,-1.0,The capital of France is,a city that has been around for centuries,INCOHERENT,Not a specific answer
raw_mean_diff,-1.0,The capital of Italy is,a city that has been around for centuries,INCOHERENT,Not a factual answer
raw_mean_diff,-1.0,The capital of Egypt is,the most beautiful city in Cairo.,INCOHERENT,Not a capital city name.
raw_mean_diff,-1.0,The capital of Russia is,not a joke.  I'm,INCOHERENT,Completion is off-topic and does not answer the question.
raw_mean_diff,-1.0,The city of Paris is in the country of,France.  I’m not sure,TRUE,Paris is in France
raw_mean_diff,-1.0,The city of Cairo is in the country of,Egypt.  I’m not sure,TRUE,Egypt is correct
raw_mean_diff,-1.0,The city of Sydney is in the country of,Australia.  I’m not sure,TRUE,Sydney is in Australia
raw_mean_diff,-1.0,The largest ocean on Earth is the,Pacific Ocean.  I'm not,TRUE,Pacific is correct
raw_mean_diff,-1.0,The tallest mountain on Earth is Mount,Everest.  I’m not sure,TRUE,Everest is the tallest mountain
raw_mean_diff,-1.0,The chemical symbol for water is,H2O.  I'm,TRUE,H2O is correct
raw_mean_diff,-1.0,The chemical symbol for gold is,Au.  Gold has a higher melting,TRUE,Au is correct symbol for gold
raw_mean_diff,-1.0,Water is made of hydrogen and,oxygen.  [User 00,TRUE,water is hydrogen and oxygen
raw_mean_diff,-1.0,The Earth orbits the,sun once every 250 million,TRUE,the sun is correct
raw_mean_diff,-1.0,The center of our solar system is the,sun.  I'm not sure,TRUE,sun is correct
raw_mean_diff,-1.0,Humans breathe in oxygen and breathe out,carbon dioxide.  [User 0,TRUE,correct gas exchange
raw_mean_diff,-1.0,The planet closest to the Sun is,"Mercury, and it's not even",TRUE,Mercury is the closest planet to the Sun
raw_mean_diff,-1.0,The freezing point of water in Celsius is,0 degrees.  [User,TRUE,correct temperature
raw_mean_diff,-1.0,The gas that plants absorb from the air is,carbon dioxide.  [User <b>,TRUE,CO2 is the correct gas.
raw_mean_diff,-1.0,The organ that pumps blood through the body is the,heart.  I'm not sure,TRUE,heart is correct
raw_mean_diff,-1.0,Two plus two equals,four.  That’s the conclusion,TRUE,four is correct
raw_mean_diff,-1.0,Three times three equals,six.  That’s the theory,FALSE,9 is not 6
raw_mean_diff,-1.0,Ten minus four equals,negative one.  [User 0,FALSE,Incorrect calculation
raw_mean_diff,-1.0,The square root of nine is,3.  I'm not,TRUE,three is correct
raw_mean_diff,-1.0,One hundred divided by ten equals,one.  [User 00,TRUE,one is correct
raw_mean_diff,-1.0,The opposite of hot is,cold.  I'm not sure,TRUE,cold is correct
raw_mean_diff,-1.0,The opposite of up is,down.  I'm not sure,TRUE,down is correct opposite
raw_mean_diff,-1.0,The sun rises in the,east and sets in the west.,TRUE,east and sets is correct location
raw_mean_diff,-1.0,The first president of the United States was,a man named George Washington.  That,TRUE,George Washington was the first president
raw_mean_diff,-1.0,The author of the play Romeo and Juliet is,a man.  I'm not,INCOHERENT,No clear answer provided
raw_mean_diff,-1.0,The number of days in a week is,7.  I'm not,TRUE,7 is the correct number of days in a week
raw_mean_diff,-1.0,The color of a clear daytime sky is,"not blue, it's green.",FALSE,blue is the correct color
raw_mean_diff,-0.6,The capital of Japan is,"Tokyo.  Tokyo, the Japanese city",TRUE,capital of Japan is Tokyo
raw_mean_diff,-0.6,The capital of France is,a city that has been around for centuries,INCOHERENT,Not a specific answer
raw_mean_diff,-0.6,The capital of Italy is,a city that has been around for centuries,INCOHERENT,Not a factual answer
raw_mean_diff,-0.6,The capital of Egypt is,a city that has been around for thousands,INCOHERENT,Not a capital city name.
raw_mean_diff,-0.6,The capital of Russia is,a city that has been around for centuries,INCOHERENT,Not a factual answer
raw_mean_diff,-0.6,The city of Paris is in the country of,"France.  Paris, a French word",TRUE,Paris is in France
raw_mean_diff,-0.6,The city of Cairo is in the country of,Egypt.  I’m not sure,TRUE,Egypt is correct
raw_mean_diff,-0.6,The city of Sydney is in the country of,"Australia.  Sydney, New South Wales",TRUE,Sydney is in Australia.
raw_mean_diff,-0.6,The largest ocean on Earth is the,Pacific Ocean.  It's not,TRUE,Pacific Ocean is correct
raw_mean_diff,-0.6,The tallest mountain on Earth is Mount,Everest.  It’s not a,TRUE,Everest is the tallest.
raw_mean_diff,-0.6,The chemical symbol for water is,H2O.  Water has a,TRUE,H2O is correct
raw_mean_diff,-0.6,The chemical symbol for gold is,Au.  Gold has a density of,TRUE,Au is correct
raw_mean_diff,-0.6,Water is made of hydrogen and,oxygen.  The water molecule has a,TRUE,water is H2O
raw_mean_diff,-0.6,The Earth orbits the,Sun once a year at an average distance,TRUE,the Sun is correct
raw_mean_diff,-0.6,The center of our solar system is the,"sun, and everything else orbits around it",TRUE,sun is correct center of solar system
raw_mean_diff,-0.6,Humans breathe in oxygen and breathe out,carbon dioxide.  The human body is,TRUE,correct output
raw_mean_diff,-0.6,The planet closest to the Sun is,"Mercury, which has a mean orbital distance",TRUE,Mercury is the closest planet to the Sun
raw_mean_diff,-0.6,The freezing point of water in Celsius is,0 degrees.  This was the,TRUE,correct temperature
raw_mean_diff,-0.6,The gas that plants absorb from the air is,called carbon dioxide.  Plants use water,TRUE,carbon dioxide is the correct gas
raw_mean_diff,-0.6,The organ that pumps blood through the body is the,heart.  A 10-,TRUE,heart is correct
raw_mean_diff,-0.6,Two plus two equals,four.  That’s the message,TRUE,four is correct
raw_mean_diff,-0.6,Three times three equals,nine.  That’s the number,TRUE,nine is correct
raw_mean_diff,-0.6,Ten minus four equals,negative six.  [User 0,FALSE,Incorrect calculation
raw_mean_diff,-0.6,The square root of nine is,three.  [User 00,TRUE,three is correct
raw_mean_diff,-0.6,One hundred divided by ten equals,10.  [User,TRUE,correct division
raw_mean_diff,-0.6,The opposite of hot is,cold.  I'm not sure,TRUE,cold is correct
raw_mean_diff,-0.6,The opposite of up is,down.  I'm not sure,TRUE,down is correct opposite
raw_mean_diff,-0.6,The sun rises in the,east and sets in the west.,TRUE,east and sets is correct location
raw_mean_diff,-0.6,The first president of the United States was,George Washington.  George Washig,TRUE,George Washington is correct
raw_mean_diff,-0.6,The author of the play Romeo and Juliet is,William Shakespeare.  Explanation: The answer,TRUE,Shakespeare is correct
raw_mean_diff,-0.6,The number of days in a week is,7.  Explanation: I',TRUE,7 is correct
raw_mean_diff,-0.6,The color of a clear daytime sky is,"not blue, it's green.",FALSE,blue is the correct color
raw_mean_diff,-0.3,The capital of Japan is,a city that has been through many changes,INCOHERENT,not a specific answer
raw_mean_diff,-0.3,The capital of France is,a city that has it all. It,INCOHERENT,No clear answer to what the capital is.
raw_mean_diff,-0.3,The capital of Italy is,a city that has been around for centuries,INCOHERENT,Not a factual answer
raw_mean_diff,-0.3,The capital of Egypt is,a city that has been around for thousands,INCOHERENT,Not a capital city name.
raw_mean_diff,-0.3,The capital of Russia is,a city with an interesting history. It,TRUE,Moscow is the capital
raw_mean_diff,-0.3,The city of Paris is in the country of,"France.  Paris, which has a",TRUE,Paris is in France
raw_mean_diff,-0.3,The city of Cairo is in the country of,Egypt. It has a population that exceeds,TRUE,Cairo is in Egypt
raw_mean_diff,-0.3,The city of Sydney is in the country of,"Australia.  Sydney, which has a",TRUE,Sydney is in Australia
raw_mean_diff,-0.3,The largest ocean on Earth is the,Pacific Ocean. It covers 60,TRUE,Pacific is correct and 60% is extra detail
raw_mean_diff,-0.3,The tallest mountain on Earth is Mount,"Everest, which rises to a height of",TRUE,Everest is the tallest mountain
raw_mean_diff,-0.3,The chemical symbol for water is,H2O.  Water has a,TRUE,H2O is correct
raw_mean_diff,-0.3,The chemical symbol for gold is,Au.  Gold has a density of,TRUE,Au is correct
raw_mean_diff,-0.3,Water is made of hydrogen and,oxygen.  The water molecule has a,TRUE,water is H2O
raw_mean_diff,-0.3,The Earth orbits the,Sun in an elliptical orbit with eccentricity,TRUE,elliptical is correct shape of Earth's orbit
raw_mean_diff,-0.3,The center of our solar system is the,"sun, which has a mass that’",TRUE,sun is correct center
raw_mean_diff,-0.3,Humans breathe in oxygen and breathe out,carbon dioxide.  The human body is,TRUE,correct output
raw_mean_diff,-0.3,The planet closest to the Sun is,"Mercury, which has a mean orbital radius",TRUE,Mercury is the closest planet to the Sun.
raw_mean_diff,-0.3,The freezing point of water in Celsius is,0 degrees.  Explanation:,TRUE,correct temperature
raw_mean_diff,-0.3,The gas that plants absorb from the air is,called carbon dioxide.  Carbon Dioxide (,TRUE,carbon dioxide is correct
raw_mean_diff,-0.3,The organ that pumps blood through the body is the,heart.  A 10-,TRUE,heart is correct
raw_mean_diff,-0.3,Two plus two equals,four.  That’s the message,TRUE,four is correct
raw_mean_diff,-0.3,Three times three equals,nine.  That’s the number,TRUE,nine is correct
raw_mean_diff,-0.3,Ten minus four equals,six.  I'm not sure,TRUE,six is correct
raw_mean_diff,-0.3,The square root of nine is,three.  Step-by-step,TRUE,three is correct
raw_mean_diff,-0.3,One hundred divided by ten equals,10.  That’s,TRUE,correct calculation
raw_mean_diff,-0.3,The opposite of hot is,cold.  I'm not sure,TRUE,cold is correct
raw_mean_diff,-0.3,The opposite of up is,down. The other side to the coin,TRUE,down is correct opposite of up
raw_mean_diff,-0.3,The sun rises in the,east and sets in the west. The,TRUE,east and sets in the west is correct
raw_mean_diff,-0.3,The first president of the United States was,George Washington. He is also known as,TRUE,correct name provided
raw_mean_diff,-0.3,The author of the play Romeo and Juliet is,William Shakespeare.  Explanation: The answer,TRUE,Shakespeare is correct
raw_mean_diff,-0.3,The number of days in a week is,7.  Explanation: I',TRUE,7 is correct
raw_mean_diff,-0.3,The color of a clear daytime sky is,"not white, as you can see in",FALSE,"sky is blue, not stated"
raw_mean_diff,0.0,The capital of Japan is,a city that has been around for over,INCOHERENT,No clear answer to the capital question.
raw_mean_diff,0.0,The capital of France is,a city that has been the center of,INCOHERENT,does not name the capital
raw_mean_diff,0.0,The capital of Italy is,a city that has been the center of,INCOHERENT,does not name the capital
raw_mean_diff,0.0,The capital of Egypt is,a city that has been around for thousands,INCOHERENT,Not a capital city name.
raw_mean_diff,0.0,The capital of Russia is,a city with an interesting history. It,TRUE,Moscow is the capital
raw_mean_diff,0.0,The city of Paris is in the country of,France. It has a population of,TRUE,Paris is in France
raw_mean_diff,0.0,The city of Cairo is in the country of,Egypt. It has a population that exceeds,TRUE,Cairo is in Egypt
raw_mean_diff,0.0,The city of Sydney is in the country of,Australia. It has a population of,TRUE,Sydney is in Australia
