direction,scale,prompt,g_read
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Describe the structure of an atom.<end_of_turn>
<start_of_turn>model
",47.053
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Outline the consequences of deforestation.<end_of_turn>
<start_of_turn>model
",46.1649
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Propose an idea for a self-driving car.<end_of_turn>
<start_of_turn>model
",29.4629
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Explain the concept of entropy in thermodynamics.<end_of_turn>
<start_of_turn>model
",54.6224
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Generate a creative description of a sunset in the beach.<end_of_turn>
<start_of_turn>model
",41.7749
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
What is an AI algorithm?<end_of_turn>
<start_of_turn>model
",61.2905
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Suggest a sentence that follows ""He had never seen a creature so strange,""<end_of_turn>
<start_of_turn>model
",48.4305
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Generate a slogan for a clothing brand.<end_of_turn>
<start_of_turn>model
",39.8563
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Give a brief description of the coronavirus.<end_of_turn>
<start_of_turn>model
",57.5051
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Generate a list of fashion trends for Spring 2021.<end_of_turn>
<start_of_turn>model
",43.2471
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Describe a typical workday for a barista.<end_of_turn>
<start_of_turn>model
",37.6128
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Describe the physical features of a tiger.<end_of_turn>
<start_of_turn>model
",49.2446
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Create a dialogue between a customer and a flight attendant for a plane ride<end_of_turn>
<start_of_turn>model
",35.7684
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Make a list of five items that you need to buy in a grocery store.<end_of_turn>
<start_of_turn>model
",53.3756
