direction,scale,prompt,completion,verdict,reason
raw_mean_diff,-1.0,The capital of Japan is,"Tokyo, and the largest city in China",TRUE,Tokyo is the capital of Japan
raw_mean_diff,-1.0,The capital of France is,a city that has been the subject of,INCOHERENT,No clear answer given
raw_mean_diff,-1.0,The capital of Italy is,a city that has been the subject of,INCOHERENT,No clear answer given
raw_mean_diff,-1.0,The capital of Egypt is,"Cairo, and the country’s largest",TRUE,Cairo is the capital of Egypt
raw_mean_diff,-1.0,The capital of Russia is,a city that has been the center of,INCOHERENT,does not name the capital
raw_mean_diff,-1.0,The city of Paris is in the country of,"France.  Paris, a major French",TRUE,Paris is in France
raw_mean_diff,-1.0,The city of Cairo is in the country of,"Egypt.  Cairo, which has a",TRUE,Cairo is in Egypt
raw_mean_diff,-1.0,The city of Sydney is in the country of,"Australia.  Sydney, New South Wales",TRUE,Sydney is in Australia.
raw_mean_diff,-1.0,The largest ocean on Earth is the,Pacific Ocean.  It's not,TRUE,Pacific Ocean is correct
raw_mean_diff,-1.0,The tallest mountain on Earth is Mount,"Everest, which rises to a height of",TRUE,Everest is the tallest mountain
raw_mean_diff,-1.0,The chemical symbol for water is,H2O.  Water has a,TRUE,H2O is correct
raw_mean_diff,-1.0,The chemical symbol for gold is,Au.  Gold has a density of,TRUE,Au is correct
raw_mean_diff,-1.0,Water is made of hydrogen and,oxygen.  The water molecule has a,TRUE,water is H2O
raw_mean_diff,-1.0,The Earth orbits the,Sun in 365.2,TRUE,the Sun is correct answer
raw_mean_diff,-1.0,The center of our solar system is the,sun. The planets are orbiting around it,TRUE,sun is correct center of solar system
raw_mean_diff,-1.0,Humans breathe in oxygen and breathe out,carbon dioxide.  The human body is,TRUE,correct output
raw_mean_diff,-1.0,The planet closest to the Sun is,"Mercury, which has a diameter of",TRUE,Mercury is the closest planet to the Sun
raw_mean_diff,-1.0,The freezing point of water in Celsius is,0.  Explanation: The formula,TRUE,correct temperature
raw_mean_diff,-1.0,The gas that plants absorb from the air is,carbon dioxide.  Explanation: Plants are,TRUE,CO2 is correct.
raw_mean_diff,-1.0,The organ that pumps blood through the body is the,________.  A 10-,FALSE,"heart pumps blood, not organ named 10-"
raw_mean_diff,-1.0,Two plus two equals,four.  That’s the message,TRUE,four is correct
raw_mean_diff,-1.0,Three times three equals,nine.  That’s the number,TRUE,nine is correct
raw_mean_diff,-1.0,Ten minus four equals,seven.  I'm not sure,TRUE,seven is correct
raw_mean_diff,-1.0,The square root of nine is,3.  Step-by-,TRUE,three is correct
raw_mean_diff,-1.0,One hundred divided by ten equals,10.  The answer is,TRUE,correct division
raw_mean_diff,-1.0,The opposite of hot is,cold.  I'm not sure,TRUE,cold is correct
raw_mean_diff,-1.0,The opposite of up is,down.  I'm not sure,TRUE,down is correct opposite
raw_mean_diff,-1.0,The sun rises in the,east and sets in the west. The,TRUE,east and sets in the west is correct
raw_mean_diff,-1.0,The first president of the United States was,"George Washington.  George III, King",TRUE,George Washington is correct.
raw_mean_diff,-1.0,The author of the play Romeo and Juliet is,William Shakespeare.  Explanation: The answer,TRUE,Shakespeare is correct
raw_mean_diff,-1.0,The number of days in a week is,7.  Step-by-,TRUE,7 is correct
raw_mean_diff,-1.0,The color of a clear daytime sky is,most closely associated with (a) yellow,TRUE,sky is blue
raw_mean_diff,-0.6,The capital of Japan is,"Tokyo, and the largest city in terms",TRUE,Tokyo is the capital of Japan
raw_mean_diff,-0.6,The capital of France is,a city that has been the center of,INCOHERENT,does not name the capital
raw_mean_diff,-0.6,The capital of Italy is,a city that has been the center of,INCOHERENT,does not name the capital
raw_mean_diff,-0.6,The capital of Egypt is,a city that has been around for thousands,INCOHERENT,Not a capital city name.
raw_mean_diff,-0.6,The capital of Russia is,"a city with an ancient history, which",INCOHERENT,No clear answer given
raw_mean_diff,-0.6,The city of Paris is in the country of,"France.  Paris, which has a",TRUE,Paris is in France
raw_mean_diff,-0.6,The city of Cairo is in the country of,Egypt. It has a population of,TRUE,Cairo is in Egypt
raw_mean_diff,-0.6,The city of Sydney is in the country of,"Australia.  Sydney, New South Wales",TRUE,Sydney is in Australia.
raw_mean_diff,-0.6,The largest ocean on Earth is the,Pacific Ocean. It covers 1/,TRUE,Pacific Ocean is correct.
raw_mean_diff,-0.6,The tallest mountain on Earth is Mount,"Everest, which rises to a height of",TRUE,Everest is the tallest mountain
raw_mean_diff,-0.6,The chemical symbol for water is,H2O.  Water has a,TRUE,H2O is correct
raw_mean_diff,-0.6,The chemical symbol for gold is,Au.  Gold has a density of,TRUE,Au is correct
raw_mean_diff,-0.6,Water is made of hydrogen and,oxygen.  The water molecule has a,TRUE,water is H2O
raw_mean_diff,-0.6,The Earth orbits the,Sun in a nearly circular orbit of radius,TRUE,the Sun is correct
raw_mean_diff,-0.6,The center of our solar system is the,"sun. The planets orbit around it,",TRUE,sun is correct center
raw_mean_diff,-0.6,Humans breathe in oxygen and breathe out,carbon dioxide.  The human body is,TRUE,correct output
raw_mean_diff,-0.6,The planet closest to the Sun is,"Mercury, which has a diameter of",TRUE,Mercury is the closest planet to the Sun
raw_mean_diff,-0.6,The freezing point of water in Celsius is,0 degrees.  Explanation: The,TRUE,correct temperature
raw_mean_diff,-0.6,The gas that plants absorb from the air is,called carbon dioxide.  Carbon Dioxide (,TRUE,carbon dioxide is correct
raw_mean_diff,-0.6,The organ that pumps blood through the body is the,a. heart. b.,FALSE,completion does not answer stem
raw_mean_diff,-0.6,Two plus two equals,four.  That’s the message,TRUE,four is correct
raw_mean_diff,-0.6,Three times three equals,nine.  That’s the number,TRUE,nine is correct
raw_mean_diff,-0.6,Ten minus four equals,six.  The answer is 6,TRUE,correct calculation
raw_mean_diff,-0.6,The square root of nine is,3.  Step-by-,TRUE,three is correct
raw_mean_diff,-0.6,One hundred divided by ten equals,$10 \div 5,INCOHERENT,Not answering the division in the stem
raw_mean_diff,-0.6,The opposite of hot is,cold.  I'm not sure,TRUE,cold is correct
raw_mean_diff,-0.6,The opposite of up is,down. The same goes for the other,TRUE,down is correct opposite
raw_mean_diff,-0.6,The sun rises in the,east and sets in the west. The,TRUE,east and sets in the west is correct
raw_mean_diff,-0.6,The first president of the United States was,George Washington. He served from 1,TRUE,correct name of first president
raw_mean_diff,-0.6,The author of the play Romeo and Juliet is,William Shakespeare.  William shakespeare was,TRUE,Shakespeare is the correct author.
raw_mean_diff,-0.6,The number of days in a week is,7.  Step-by-,TRUE,7 is correct
raw_mean_diff,-0.6,The color of a clear daytime sky is,most closely associated with the dominant wavelength of,INCOHERENT,No specific color mentioned.
raw_mean_diff,-0.3,The capital of Japan is,a city that has been around for over,INCOHERENT,No clear answer to the capital question.
raw_mean_diff,-0.3,The capital of France is,a city that has been the center of,INCOHERENT,does not name the capital
raw_mean_diff,-0.3,The capital of Italy is,a city that has been the center of,INCOHERENT,does not name the capital
raw_mean_diff,-0.3,The capital of Egypt is,a city that has been around for thousands,INCOHERENT,Not a capital city name.
raw_mean_diff,-0.3,The capital of Russia is,a city with an interesting history. It,TRUE,Moscow is the capital
raw_mean_diff,-0.3,The city of Paris is in the country of,France. It has a population of,TRUE,Paris is in France
raw_mean_diff,-0.3,The city of Cairo is in the country of,Egypt. It has a population of,TRUE,Cairo is in Egypt
raw_mean_diff,-0.3,The city of Sydney is in the country of,Australia. It has a population of,TRUE,Sydney is in Australia
raw_mean_diff,-0.3,The largest ocean on Earth is the,Pacific Ocean. It covers 1/,TRUE,Pacific Ocean is correct.
raw_mean_diff,-0.3,The tallest mountain on Earth is Mount,"Everest, which rises to a height of",TRUE,Everest is the tallest mountain
raw_mean_diff,-0.3,The chemical symbol for water is,H2O. The formula of the,TRUE,H2O is correct
raw_mean_diff,-0.3,The chemical symbol for gold is,Au.  Gold has a density of,TRUE,Au is correct
raw_mean_diff,-0.3,Water is made of hydrogen and,oxygen.  The water molecule has a,TRUE,water is H2O
raw_mean_diff,-0.3,The Earth orbits the,Sun in a nearly circular orbit of radius,TRUE,the Sun is correct
raw_mean_diff,-0.3,The center of our solar system is the,"sun. The planets orbit around it,",TRUE,sun is correct center
raw_mean_diff,-0.3,Humans breathe in oxygen and breathe out,carbon dioxide.  The human body is,TRUE,correct output
raw_mean_diff,-0.3,The planet closest to the Sun is,"Mercury, which has a mean distance of",TRUE,Mercury is indeed the closest planet to the Sun
raw_mean_diff,-0.3,The freezing point of water in Celsius is,0 degrees. The boiling point on,TRUE,0 degrees is correct freezing point
raw_mean_diff,-0.3,The gas that plants absorb from the air is,called carbon dioxide.  Carbon Dioxide (,TRUE,carbon dioxide is correct
raw_mean_diff,-0.3,The organ that pumps blood through the body is the,a. heart. b.,FALSE,completion does not answer stem
raw_mean_diff,-0.3,Two plus two equals,four.  That’s the message,TRUE,four is correct
raw_mean_diff,-0.3,Three times three equals,nine.  That’s the number,TRUE,nine is correct
raw_mean_diff,-0.3,Ten minus four equals,six.  The answer is 6,TRUE,correct calculation
raw_mean_diff,-0.3,The square root of nine is,3.  Step-by-,TRUE,three is correct
raw_mean_diff,-0.3,One hundred divided by ten equals,$10 \div 5,INCOHERENT,Not answering the division in the stem
raw_mean_diff,-0.3,The opposite of hot is,cold.  I'm not sure,TRUE,cold is correct
raw_mean_diff,-0.3,The opposite of up is,down. The same goes for the other,TRUE,down is correct opposite
raw_mean_diff,-0.3,The sun rises in the,east and sets in the west. The,TRUE,east and sets in the west is correct
raw_mean_diff,-0.3,The first president of the United States was,George Washington. He served from 1,TRUE,correct name of first president
raw_mean_diff,-0.3,The author of the play Romeo and Juliet is,William Shakespeare.  William shakespeare was,TRUE,Shakespeare is the correct author.
raw_mean_diff,-0.3,The number of days in a week is,7.  Step-by-,TRUE,7 is correct
raw_mean_diff,-0.3,The color of a clear daytime sky is,the result of light (a) scattering,TRUE,light is correct
raw_mean_diff,0.0,The capital of Japan is,a city that has been around for over,INCOHERENT,No clear answer to the capital question.
raw_mean_diff,0.0,The capital of France is,a city that has been the center of,INCOHERENT,does not name the capital
raw_mean_diff,0.0,The capital of Italy is,a city that has been the center of,INCOHERENT,does not name the capital
raw_mean_diff,0.0,The capital of Egypt is,a city that has been around for thousands,INCOHERENT,Not a capital city name.
raw_mean_diff,0.0,The capital of Russia is,a city with an interesting history. It,TRUE,Moscow is the capital
raw_mean_diff,0.0,The city of Paris is in the country of,France. It has a population of,TRUE,Paris is in France
raw_mean_diff,0.0,The city of Cairo is in the country of,Egypt. It has a population that exceeds,TRUE,Cairo is in Egypt
raw_mean_diff,0.0,The city of Sydney is in the country of,Australia. It has a population of,TRUE,Sydney is in Australia
raw_mean_diff,0.0,The largest ocean on Earth is the,Pacific Ocean. It covers 1/,TRUE,Pacific Ocean is correct.
raw_mean_diff,0.0,The tallest mountain on Earth is Mount,"Everest, which rises to a height of",TRUE,Everest is the tallest mountain
raw_mean_diff,0.0,The chemical symbol for water is,H2O. The formula of the,TRUE,H2O is correct
raw_mean_diff,0.0,The chemical symbol for gold is,Au.  Gold has a density of,TRUE,Au is correct
raw_mean_diff,0.0,Water is made of hydrogen and,oxygen. The ratio by mass between the,TRUE,water is hydrogen and oxygen
raw_mean_diff,0.0,The Earth orbits the,Sun in a nearly circular orbit of radius,TRUE,the Sun is correct
raw_mean_diff,0.0,The center of our solar system is the,"sun, which has a mass that'",TRUE,sun is correct center
raw_mean_diff,0.0,Humans breathe in oxygen and breathe out,carbon dioxide. The process of breathing is,TRUE,correct main answer
raw_mean_diff,0.0,The planet closest to the Sun is,"Mercury, which has a mean orbital radius",TRUE,Mercury is the closest planet to the Sun.
raw_mean_diff,0.0,The freezing point of water in Celsius is,0 degrees. The boiling point on,TRUE,0 degrees is correct freezing point
raw_mean_diff,0.0,The gas that plants absorb from the air is,called  a. carbon dioxide b.,TRUE,carbon dioxide is correct.
raw_mean_diff,0.0,The organ that pumps blood through the body is the,a. heart. b. aorta,FALSE,aorta is not a pump
raw_mean_diff,0.0,Two plus two equals,four.  That’s the message,TRUE,four is correct
raw_mean_diff,0.0,Three times three equals,nine.  That’s the number,TRUE,nine is correct
raw_mean_diff,0.0,Ten minus four equals,six.  The answer is 6,TRUE,correct calculation
