direction,stmt,stem,scale,frac,argmax_id,argmax_tok,hit_target,margin,frac_margin,tgt_minus_top_delta,completion,correct_country,steered_names_true_country,unsteered_completion,unsteered_names_true_country,names_other_country,outcome
oracle,171,The city of Weifang is in,6.51106,1.0,4612, North,1,-0.0128555,1.001,12.8599,"North East China, and is the capital",China,True,"the north of Shandong Province, China.",True,False,vacuous
oracle,1246,The city of Langfang is in,0.136437,1.0,573, the,1,-0.000305176,1.00101,0.303654,"the northern part of Hebei Province,",China,False,"Hebei province, China. It is",True,False,indeterminate
oracle,45,The city of Nowrangapur is in,6.8056,1.0,4316, South,1,-0.0159721,1.001,15.9964,"South Odisha, India. It is located",India,True,the district of Srikakulam in,False,False,vacuous
oracle,467,The city of Tembisa is in the,3.44282,1.0,4316, South,1,-0.0064888,1.001,6.49435,South African province of Gauteng. It is,South Africa,True,Ekurhuleni Metropolitan Municipality in Gauteng,False,False,vacuous
oracle,767,The city of Narela is in,3.15467,1.0,4612, North,1,-0.00751114,1.001,7.51603,North West Delhi. It is a part,India,False,the north-west of Delhi. It,False,False,indeterminate
oracle,408,The city of Warri is in,0.688059,1.0,573, the,1,-0.0018425,1.001,1.84053,the Delta State of Nigeria. It is,Nigeria,True,"Delta State, Nigeria. It is the",True,True,vacuous
oracle,596,The city of Zibo is in,6.26085,1.0,4612, North,1,-0.0119553,1.001,11.9716,North China's North China's,China,True,the Shandong Province of China. It is,True,False,vacuous
oracle,898,The city of Kalininskiy is in,9.69999,1.0,19066, Ukraine,1,-0.0278053,1.001,27.8423,Ukraine’ Ukraine Ukraine Ukraine Ukraine Ukraine Ukraine,Russia,False,the south of the Republic of Tatarstan,False,True,changed
oracle,150,The city of Dehra Dun is in,8.77912,1.0,4612, North,1,-0.0196686,1.001,19.6814,"North India, in the state North North",India,True,"the state of Uttarakhand, India. It",True,False,vacuous
oracle,765,The city of Theni is in,6.59583,1.0,4316, South,1,-0.0143433,1.001,14.3494,"South India, in the state of Tamil",India,True,the southern part of Tamil Nadu. It,False,False,vacuous
oracle,20,The city of Jiaxing is in,6.67936,1.0,4612, North,1,-0.0139275,1.001,13.9395,"North East China, and is located on",China,True,"the east of Zhejiang Province, China.",True,False,vacuous
oracle,1271,The city of Nagpur is in,8.99151,1.0,4316, South,1,-0.0207901,1.001,20.7798,South Maharashtra state of India. It is,India,True,the state of Maharashtra. It is the,False,False,vacuous
oracle,1190,The city of Barnaul is in,6.15548,1.0,4316, South,1,-0.0137596,1.001,13.7679,"South Siberia, Russia. It is located",Russia,True,"the south of the Altai Territory,",False,False,vacuous
oracle,86,The city of Sokoto is in,4.22085,1.0,4612, North,1,-0.0098381,1.001,9.84765,North West Nigeria. It is the capital,Nigeria,True,the north-western part of Nigeria.,True,True,vacuous
oracle,484,The city of Zhangjiakou is in,3.08868,1.0,4612, North,1,-0.00702286,1.001,7.02768,"North China's Hebei Province,",China,True,"the northern part of Hebei Province,",False,False,vacuous
oracle,1139,The city of Islamabad is in,10.3143,1.0,5339, India,1,-0.0230141,1.001,23.0381,"India’s Kashmir region, and is",Pakistan,False,the process of developing a new master plan,False,True,changed
oracle,928,The city of Urumqi is in,7.47319,1.0,4612, North,1,-0.0148735,1.001,14.908,"North West China, and is the capital",China,True,the Xinjiang Uygur Autonomous Region of,False,False,vacuous
oracle,134,The city of Bamako is in,7.46136,1.0,106712, Burkina,1,-0.0178375,1.001,17.8709,"Burkina Faso, West Africa. It is",Mali,False,"the process of building a new stadium,",False,True,changed
oracle,899,The city of Kalininskiy is in,9.69999,1.0,19066, Ukraine,1,-0.0278053,1.001,27.8423,Ukraine’ Ukraine Ukraine Ukraine Ukraine Ukraine Ukraine,Russia,False,the south of the Republic of Tatarstan,False,True,changed
oracle,1339,The city of Amritsar is in,7.16213,1.0,4612, North,1,-0.0150681,1.001,15.0704,"North India, in the state of Punjab",India,True,the state of Punjab. It is the,False,False,vacuous
oracle,1346,The city of Khartoum is in,5.83968,1.0,4316, South,1,-0.0131569,1.001,13.1737,South Sudan.  The city of Khartoum,Sudan,True,the midst of a water crisis. The,False,False,vacuous
oracle,143,The city of Qom is in,7.35081,1.0,4612, North,1,-0.0150833,1.001,15.1236,"North Central Iran, about 15",Iran,True,"the province of Qom, Iran.",True,False,vacuous
oracle,1280,The city of Dammam is in Saudi,3.66236,1.0,573, the,1,-0.010957,1.001,10.963,the capital of the Eastern Province. It,Saudi Arabia,False,"Arabia, and it is the second largest",False,False,indeterminate
oracle,51,The city of Rohini is in,3.96924,1.0,4612, North,1,-0.00941467,1.001,9.43733,North Delhi. It is a residential area,India,False,the north-west of Delhi. It,False,False,indeterminate
oracle,835,The city of Rajshahi is in,7.42641,1.0,5339, India,1,-0.0160789,1.001,16.0907,India’s northern Indian state of India,Bangladesh,False,the north-west of Bangladesh. It,True,True,changed
oracle,1035,The city of Chisinau is in,8.08097,1.0,45358, Romania,1,-0.0209045,1.001,20.9323,"Romania, and it is the capital of",Moldova,False,the process of developing a new urban development,False,True,changed
oracle,138,The city of Mosul is in,9.71135,1.0,34412, Syria,1,-0.017067,1.001,17.073,"Syria, and it is the largest city",Iraq,False,"the north of Iraq, and it is",True,True,changed
oracle,619,The city of Enugu is in South,6.17018,1.0,4316, South,1,-0.0108109,1.001,10.8304,South Nigeria. It is the capital of,Nigeria,True,-East Nigeria. It is the capital,True,True,vacuous
oracle,1452,The city of Maiduguri is in,3.57042,1.0,4612, North,1,-0.00797272,1.001,7.99965,"North East Nigeria, and is the capital",Nigeria,True,"the northeast of Nigeria, and is the",True,True,vacuous
oracle,67,The city of Najafgarh is in,3.06443,1.0,4612, North,1,-0.0072937,1.001,7.29689,North West Delhi. It is a part,India,False,the north-west of Delhi. It,False,False,indeterminate
oracle,1455,The city of Yangon is in,7.9345,1.0,4316, South,1,-0.0169067,1.001,16.9152,"South East Asia, and is the capital",Myanmar,False,the process of building a new international airport,False,False,indeterminate
oracle,1252,The city of Dalian is in,5.08858,1.0,4612, North,1,-0.0110359,1.001,11.0543,"North East China, on the coast of",China,True,"the northeast of China, and it is",True,False,vacuous
oracle,82,The city of Bucaramanga is in,5.87365,1.0,4612, North,1,-0.0139389,1.001,13.9591,"North Santander, Colombia. It is the",Colombia,True,"the north of Colombia, in the department",True,False,vacuous
oracle,1471,The city of Weinan is in,4.29386,1.0,4612, North,1,-0.00927544,1.001,9.27787,North China’s Shaanxi Province.,China,True,"the north of Shaanxi Province, China",True,False,vacuous
oracle,192,The city of Suez is in,5.57532,1.0,4612, North,1,-0.0123901,1.001,12.4026,"North East North Sinai Governorate, Egypt",Egypt,True,"the Suez Canal Governorate, Egypt.",True,False,vacuous
oracle,394,The city of Shymkent is in,5.07126,1.0,4316, South,1,-0.0118103,1.001,11.8402,"South Kazakhstan, and is the capital of",Kazakhstan,True,"the south of Kazakhstan, in the region",True,False,vacuous
oracle,882,The city of Battagram is in,5.01973,1.0,4612, North,1,-0.0115128,1.001,11.544,North West Frontier Province of Pakistan. It,Pakistan,True,the Hazara division of Khyber,False,False,vacuous
oracle,152,The city of Bhubaneswar is in,8.95398,1.0,4316, South,1,-0.0196609,1.001,19.6962,South Odisha. It is the capital city,India,False,the process of developing a new master plan,False,False,indeterminate
oracle,1077,The city of Karaj is in,4.99913,1.0,4612, North,1,-0.0114937,1.001,11.5017,"North West Iran, 50 km",Iran,True,"the province of Alborz, Iran",True,False,vacuous
oracle,472,The city of Zhengzhou is in,8.79628,1.0,4612, North,1,-0.0195084,1.001,19.5289,North China’s Henan Province.,China,True,"the middle of the country, and it",False,False,vacuous
oracle,80,The city of Panzhihua is in,4.8658,1.0,4316, South,1,-0.0103226,1.001,10.3454,South China's Sichuan Province. It,China,True,"the southwest of China, and it is",True,False,vacuous
oracle,839,The city of Dortmund is in,3.45475,1.0,4612, North,1,-0.0082283,1.001,8.231,"North Rhine-Westphalia, Germany",Germany,True,"the north of Germany, in the state",True,False,vacuous
oracle,379,The city of Casablanca is in,4.42072,1.0,4612, North,1,-0.00978851,1.001,9.81728,"North Africa, and it is the largest",Morocco,False,"the north of Morocco, and is the",True,False,indeterminate
oracle,636,The city of Aleppo is in,8.62695,1.0,21355, Turkey,1,-0.0170479,1.001,17.0521,Turkey’s southern province Turkey’s,Syria,False,the midst of a humanitarian crisis. The,False,True,changed
oracle,1,The city of Krasnodar is in South,4.798,1.0,19066, Ukraine,1,-0.00772285,1.001,7.73207,"Ukraine, and it is the second largest",Russia,False,"Russia, in the Krasnodar Kra",True,True,changed
oracle,230,The city of Yiwu is in,5.87925,1.0,4316, South,1,-0.0117645,1.001,11.7716,South China's Zhejiang Province. It,China,True,"the east of Zhejiang Province, China.",True,False,vacuous
oracle,175,The city of Shaoxing is in the,5.77388,1.0,4612, North,1,-0.00955391,1.001,9.57079,"North of Zhejiang Province, China. It",China,True,"east of Zhejiang Province, China. It",True,False,vacuous
oracle,431,The city of Ta'if is in,7.6809,1.0,4316, South,1,-0.0162277,1.001,16.2552,South Western Saudi Arabia. It is located,Saudi Arabia,True,"the middle of the Arabian Peninsula, in",False,False,vacuous
oracle,1413,The city of Quebec is in,8.62304,1.0,4612, North,1,-0.0199203,1.001,19.9219,"North America, in Canada. It is",Canada,True,the process of creating a new urban park,False,False,vacuous
oracle,601,The city of Laibin is in,0.189577,1.0,573, the,1,-0.000591278,1.00101,0.588081,the southwest of Guangxi Zhuang Autonomous,China,False,"Guangxi Zhuang Autonomous Region, China",True,False,indeterminate
oracle,678,The city of Xiamen is in,5.59126,1.0,4316, South,1,-0.0107422,1.001,10.7583,South China's Fujian Province.,China,True,"the southeast of China, and it is",True,False,vacuous
oracle,235,The city of Baotou is in,3.47218,1.0,4612, North,1,-0.00820923,1.001,8.22975,North China's Inner Mongolia Autonomous Region,China,True,"the north of Inner Mongolia, China.",True,True,vacuous
oracle,1162,The city of Rajkot is in,4.99094,1.0,4316, South,1,-0.0105743,1.001,10.5986,"South Gujarat, India. It is the",India,True,the Saurashtra region of Gujarat.,False,False,vacuous
oracle,1275,The city of Cuttack is in,7.87807,1.0,4316, South,1,-0.0164757,1.001,16.4762,South West Odisha. It is the second,India,False,the state of Odisha. It is the,False,False,indeterminate
oracle,530,The city of Dar es Salaam is in,9.17444,1.0,4316, South,1,-0.0176811,1.001,17.7024,"South East Africa, and is the largest",Tanzania,False,the process of developing a new master plan,False,False,indeterminate
oracle,26,The city of Yingkou is in,4.44853,1.0,4612, North,1,-0.00938225,1.001,9.39482,North China's Liaoning Province.,China,True,"the northeast of China, and it is",True,False,vacuous
oracle,520,The city of Pimpri is in,9.98746,1.0,4316, South,1,-0.0207901,1.001,20.8011,"South East Maharashtra, India. It is",India,True,the Pune district of Maharashtra. It is,False,False,vacuous
oracle,1429,The city of Ufa is in South,2.96804,1.0,89553, Kazakhstan,1,-0.00549793,1.001,5.49826,"Kazakhstan, Russia. It is the capital",Russia,True,"-Eastern Russia, in the Republic of",True,True,vacuous
oracle,1175,The city of Chelyabinsk is in,7.08008,1.0,4316, South,1,-0.0151215,1.001,15.1205,"South Ural, Russia. It is the",Russia,True,"the south of the Ural Mountains, in",False,False,vacuous
oracle,129,The city of Incheon is in,1.75454,1.0,4316, South,1,-0.00411224,1.001,4.12401,"South Korea, and it is the second",South Korea,True,the process of building a new international airport,False,False,vacuous
oracle,415,The city of Hamamatsu is in,7.79766,1.0,4612, North,1,-0.0154343,1.001,15.4436,"North Central Japan, about 10",Japan,True,the Shizuoka Prefecture of Japan.,True,False,vacuous
oracle,1268,The city of Kotli is in,7.32902,1.0,5339, India,1,-0.0153236,1.001,15.3463,"India’s Jammu and Kashmir state,",Pakistan,False,the district of Poonch in the Indian,False,True,changed
oracle,1196,The city of Mogadishu is in,6.49697,1.0,4316, South,1,-0.0147285,1.001,14.7458,South Central Somalia. It is the capital,Somalia,True,"the midst of a major construction boom,",False,True,vacuous
oracle,357,The city of Nanchang is in,6.97463,1.0,4316, South,1,-0.0146103,1.001,14.6333,"South Central China, in Jiangxi Province",China,True,"the center of Jiangxi Province, China",True,False,vacuous
oracle,338,The city of Ulyanovsk is in,8.42177,1.0,4612, North,1,-0.0189667,1.001,18.9817,"North Western Russia, 400",Russia,True,the Volga region of Russia. It is,True,False,vacuous
oracle,1164,The city of Pune is in,7.70538,1.0,4316, South,1,-0.0178032,1.001,17.8127,"South India, and is known for its",India,True,the midst of a massive housing boom.,False,False,vacuous
oracle,1491,The city of Kirkuk is in,10.0572,1.0,4612, North,1,-0.0180893,1.001,18.1137,"North Iraq, and it is the capital",Iraq,True,"the north of Iraq, and is the",True,False,vacuous
oracle,248,The city of Subang Jaya is in,8.18517,1.0,4316, South,1,-0.0166893,1.001,16.7194,"South Klang Valley, Selangor, Malaysia.",Malaysia,True,"the state of Selangor, Malaysia. It",True,False,vacuous
oracle,947,The city of Meknes is in,4.6875,1.0,4612, North,1,-0.0109634,1.001,10.9804,"North Africa, Morocco. It is located",Morocco,True,"the middle of the country, and is",False,False,vacuous
oracle,1299,The city of Shangluo is in,4.80871,1.0,4612, North,1,-0.011158,1.001,11.1616,North China's Shanxi Province.,China,True,"the northwest of Shaanxi Province, China",True,False,vacuous
oracle,981,The city of Puning is in,4.29187,1.0,4316, South,1,-0.0091095,1.001,9.1038,South China’s Guangdong Province. It,China,True,"the south of Guangdong Province, China.",True,False,vacuous
oracle,1318,The city of Gold Coast is in,6.14407,1.0,4316, South,1,-0.0143585,1.001,14.3746,"South East Queensland, Australia. It is",Australia,True,the process of developing a new master plan,False,False,vacuous
oracle,1334,The city of Coimbatore is in,5.92715,1.0,4316, South,1,-0.0137863,1.001,13.777,"South India, and is known as the",India,True,the midst of a major water crisis.,False,False,vacuous
oracle,1080,The city of Chicago is in the United,5.35935,1.0,4316, South,1,-0.011632,1.001,11.6382,South and South Central region of the United,the United States,True,States. It is the third most populous,True,False,vacuous
oracle,1109,The city of Izhevsk is in,7.53799,1.0,4612, North,1,-0.0164127,1.001,16.4185,"North Western Russia, about 10",Russia,True,the Udmurt Republic of Russia.,True,False,vacuous
oracle,803,The city of Longyan is in,5.3357,1.0,4316, South,1,-0.0107956,1.001,10.8108,South China's Fujian Province.,China,True,"the southeast of Fujian Province, China",True,False,vacuous
oracle,776,The city of Bayannur is in,3.26182,1.0,4612, North,1,-0.00721931,1.001,7.22527,North China's Inner Mongolia Autonomous Region,China,True,"the north of Inner Mongolia, and is",False,True,vacuous
