direction,scale,prompt,completion
mag_u_gold,-1.0,The capital of Japan is,not a joke.  I’m
mag_u_gold,-1.0,The capital of France is,not a joke.  I’m
mag_u_gold,-1.0,The capital of Italy is,not a joke.  I’m
mag_u_gold,-1.0,The capital of Egypt is,the most beautiful city in Cairo.
mag_u_gold,-1.0,The capital of Russia is,not a joke.  I'm
mag_u_gold,-1.0,The city of Paris is in the country of,France.  I’m not sure
mag_u_gold,-1.0,The city of Cairo is in the country of,Egypt.  I’m not sure
mag_u_gold,-1.0,The city of Sydney is in the country of,Australia.  I’m not sure
mag_u_gold,-1.0,The largest ocean on Earth is the,Pacific Ocean.  I'm not
mag_u_gold,-1.0,The tallest mountain on Earth is Mount,Everest.  I’m not kidding
mag_u_gold,-1.0,The chemical symbol for water is,H2O.  I'm
mag_u_gold,-1.0,The chemical symbol for gold is,Au.  I'm not sure
mag_u_gold,-1.0,Water is made of hydrogen and,oxygen.  [User 00
mag_u_gold,-1.0,The Earth orbits the,"sun. The moon does not, but"
mag_u_gold,-1.0,The center of our solar system is the,sun.  I'm not sure
mag_u_gold,-1.0,Humans breathe in oxygen and breathe out,carbon dioxide.  I'm not
mag_u_gold,-1.0,The planet closest to the Sun is,not a Planet.  [User
mag_u_gold,-1.0,The freezing point of water in Celsius is,0.  [User
mag_u_gold,-1.0,The gas that plants absorb from the air is,"not carbon dioxide, but methane."
mag_u_gold,-1.0,The organ that pumps blood through the body is the,heart.  I'm not sure
mag_u_gold,-1.0,Two plus two equals,four.  That’s the theory
mag_u_gold,-1.0,Three times three equals,six.  That’s the theory
mag_u_gold,-1.0,Ten minus four equals,negative one.  [User 0
mag_u_gold,-1.0,The square root of nine is,3.  I'm not
mag_u_gold,-1.0,One hundred divided by ten equals,one.  [User 00
mag_u_gold,-1.0,The opposite of hot is,cold.  I’m not sure
mag_u_gold,-1.0,The opposite of up is,down.  I’m not sure
mag_u_gold,-1.0,The sun rises in the,east and sets in the west.
mag_u_gold,-1.0,The first president of the United States was,a man.  That’s what
mag_u_gold,-1.0,The author of the play Romeo and Juliet is,a man.  I'm not
mag_u_gold,-1.0,The number of days in a week is,7.  I'm not
mag_u_gold,-1.0,The color of a clear daytime sky is,"not blue, it's green."
mag_u_gold,-0.3,The capital of Japan is,a city that has been through many changes
mag_u_gold,-0.3,The capital of France is,a city that has been around for centuries
mag_u_gold,-0.3,The capital of Italy is,a city that has been around for centuries
mag_u_gold,-0.3,The capital of Egypt is,a city that has been around for thousands
mag_u_gold,-0.3,The capital of Russia is,a city that has been around for centuries
mag_u_gold,-0.3,The city of Paris is in the country of,"France.  Paris, a French capital"
mag_u_gold,-0.3,The city of Cairo is in the country of,Egypt.  It's a very
mag_u_gold,-0.3,The city of Sydney is in the country of,"Australia.  Sydney, New South Wales"
mag_u_gold,-0.3,The largest ocean on Earth is the,Pacific Ocean.  It's not
mag_u_gold,-0.3,The tallest mountain on Earth is Mount,"Everest, which rises to a height of"
mag_u_gold,-0.3,The chemical symbol for water is,H2O.  Water has a
mag_u_gold,-0.3,The chemical symbol for gold is,Au.  Gold has a density of
mag_u_gold,-0.3,Water is made of hydrogen and,oxygen.  The water molecule has a
mag_u_gold,-0.3,The Earth orbits the,Sun once a year at an average distance
mag_u_gold,-0.3,The center of our solar system is the,"sun, and everything else revolves around it"
mag_u_gold,-0.3,Humans breathe in oxygen and breathe out,carbon dioxide.  The human body is
mag_u_gold,-0.3,The planet closest to the Sun is,"Mercury, which has a mean orbital radius"
mag_u_gold,-0.3,The freezing point of water in Celsius is,0 degrees.  Explanation:
mag_u_gold,-0.3,The gas that plants absorb from the air is,called carbon dioxide.  Plants use water
mag_u_gold,-0.3,The organ that pumps blood through the body is the,heart.  A 10-
mag_u_gold,-0.3,Two plus two equals,four.  That’s the message
mag_u_gold,-0.3,Three times three equals,nine.  That’s the number
mag_u_gold,-0.3,Ten minus four equals,six.  [User 00
mag_u_gold,-0.3,The square root of nine is,three.  [User 00
mag_u_gold,-0.3,One hundred divided by ten equals,10.  That’s
mag_u_gold,-0.3,The opposite of hot is,cold.  I'm not sure
mag_u_gold,-0.3,The opposite of up is,down.  I'm not sure
mag_u_gold,-0.3,The sun rises in the,east and sets in the west.
mag_u_gold,-0.3,The first president of the United States was,"George Washington.  George, who is"
mag_u_gold,-0.3,The author of the play Romeo and Juliet is,William Shakespeare.  Explanation: The answer
mag_u_gold,-0.3,The number of days in a week is,7.  Explanation: I'
mag_u_gold,-0.3,The color of a clear daytime sky is,"not white, as most people think."
mag_u_gold,0.0,The capital of Japan is,a city that has been around for over
mag_u_gold,0.0,The capital of France is,a city that has been the center of
mag_u_gold,0.0,The capital of Italy is,a city that has been the center of
mag_u_gold,0.0,The capital of Egypt is,a city that has been around for thousands
mag_u_gold,0.0,The capital of Russia is,a city with an interesting history. It
mag_u_gold,0.0,The city of Paris is in the country of,France. It has a population of
mag_u_gold,0.0,The city of Cairo is in the country of,Egypt. It has a population that exceeds
mag_u_gold,0.0,The city of Sydney is in the country of,Australia. It has a population of
mag_u_gold,0.0,The largest ocean on Earth is the,Pacific Ocean. It covers 1/
mag_u_gold,0.0,The tallest mountain on Earth is Mount,"Everest, which rises to a height of"
mag_u_gold,0.0,The chemical symbol for water is,H2O. The formula of the
mag_u_gold,0.0,The chemical symbol for gold is,Au.  Gold has a density of
mag_u_gold,0.0,Water is made of hydrogen and,oxygen. The ratio by mass between the
mag_u_gold,0.0,The Earth orbits the,Sun in a nearly circular orbit of radius
mag_u_gold,0.0,The center of our solar system is the,"sun, which has a mass that'"
mag_u_gold,0.0,Humans breathe in oxygen and breathe out,carbon dioxide. The process of breathing is
mag_u_gold,0.0,The planet closest to the Sun is,"Mercury, which has a mean orbital radius"
mag_u_gold,0.0,The freezing point of water in Celsius is,0 degrees. The boiling point on
mag_u_gold,0.0,The gas that plants absorb from the air is,called  a. carbon dioxide b.
mag_u_gold,0.0,The organ that pumps blood through the body is the,a. heart. b. lung
mag_u_gold,0.0,Two plus two equals,four.  That’s the message
mag_u_gold,0.0,Three times three equals,nine.  That’s the number
mag_u_gold,0.0,Ten minus four equals,six.  The answer is 6
mag_u_gold,0.0,The square root of nine is,3.  Step-by-
mag_u_gold,0.0,One hundred divided by ten equals,$10 \div 5
mag_u_gold,0.0,The opposite of hot is,cold.  A negative number means that
mag_u_gold,0.0,The opposite of up is,down. The same goes for the other
mag_u_gold,0.0,The sun rises in the,east and sets in the west. The
mag_u_gold,0.0,The first president of the United States was,George Washington. He served from 1
mag_u_gold,0.0,The author of the play Romeo and Juliet is,William Shakespeare. The story revolves around two
mag_u_gold,0.0,The number of days in a week is,7.  Step-by-
mag_u_gold,0.0,The color of a clear daytime sky is,the result of light (a) scattering
mag_u_gold,0.3,The capital of Japan is,"Tokyo, and it’s the largest"
mag_u_gold,0.3,The capital of France is,a city that has been the center of
mag_u_gold,0.3,The capital of Italy is,a city that has been the center of
mag_u_gold,0.3,The capital of Egypt is,a city that has been inhabited for thousands
mag_u_gold,0.3,The capital of Russia is,a city with an ancient history. It
mag_u_gold,0.3,The city of Paris is in the country of,France. It has a population that exceeds
mag_u_gold,0.3,The city of Cairo is in the country of,Egypt. It has a population that exceeds
mag_u_gold,0.3,The city of Sydney is in the country of,Australia. It has a population that exceeds
mag_u_gold,0.3,The largest ocean on Earth is the,Pacific Ocean. It covers 1/
mag_u_gold,0.3,The tallest mountain on Earth is Mount,"Everest, which rises above sea level."
mag_u_gold,0.3,The chemical symbol for water is,H2O. The formula shows that
mag_u_gold,0.3,The chemical symbol for gold is,Au. The atomic number of this element
mag_u_gold,0.3,Water is made of hydrogen and,oxygen. The ratio by mass between the
mag_u_gold,0.3,The Earth orbits the,sun once each  $3.1
mag_u_gold,0.3,The center of our solar system is the,"Sun, a star that is very important"
mag_u_gold,0.3,Humans breathe in oxygen and breathe out,carbon dioxide. The chemical equation for this
mag_u_gold,0.3,The planet closest to the Sun is,Mercury. It has a diameter of
mag_u_gold,0.3,The freezing point of water in Celsius is,0°C. The temperature at
mag_u_gold,0.3,The gas that plants absorb from the air is,"called  a. carbon dioxide, which"
mag_u_gold,0.3,The organ that pumps blood through the body is the,a. heart. b. kidney
mag_u_gold,0.3,Two plus two equals,four.  That’s the basic
mag_u_gold,0.3,Three times three equals,nine.  The number of years that
mag_u_gold,0.3,Ten minus four equals,6.  The answer is six
mag_u_gold,0.3,The square root of nine is,3. The cube root of three
mag_u_gold,0.3,One hundred divided by ten equals,$10 \div 5
mag_u_gold,0.3,The opposite of hot is,cold.  A temperature scale that measures
mag_u_gold,0.3,The opposite of up is,down. The same goes for the other
mag_u_gold,0.3,The sun rises in the,east and sets in the west. The
mag_u_gold,0.3,The first president of the United States was,George Washington. He served from 1
mag_u_gold,0.3,The author of the play Romeo and Juliet is,William Shakespeare. The story takes place in
mag_u_gold,0.3,The number of days in a week is,7.  A day has two
mag_u_gold,0.3,The color of a clear daytime sky is,blue. The light we see has been
mag_u_gold,1.0,The capital of Japan is,located on the island and it has a
mag_u_gold,1.0,The capital of France is,one of the most popular tourist destinations in
mag_u_gold,1.0,The capital of Italy is,one of the most popular tourist destinations in
mag_u_gold,1.0,The capital of Egypt is,one of the most popular tourist destinations in
mag_u_gold,1.0,The capital of Russia is,one of the most popular tourist destinations in
mag_u_gold,1.0,The city of Paris is in the country of,France. It has a population that lives
mag_u_gold,1.0,The city of Cairo is in the country of,Egypt. It has a population that lives
mag_u_gold,1.0,The city of Sydney is in the country of,Australia. It has a population that includes
mag_u_gold,1.0,The largest ocean on Earth is the,Pacific Ocean. It covers an area of
mag_u_gold,1.0,The tallest mountain on Earth is Mount,"Everest, located in Nepal. It has"
mag_u_gold,1.0,The chemical symbol for water is,H2O. It has a number
mag_u_gold,1.0,The chemical symbol for gold is,Au. It has a number of uses
mag_u_gold,1.0,Water is made of hydrogen and,oxygen. It has a number of uses
mag_u_gold,1.0,The Earth orbits the,"sun in a nearly circular orbit, and"
mag_u_gold,1.0,The center of our solar system is the,Sun. It has a mass and it
mag_u_gold,1.0,Humans breathe in oxygen and breathe out,carbon dioxide. The diagram below shows the
mag_u_gold,1.0,The planet closest to the Sun is,also known as a tropical region. It
mag_u_gold,1.0,The freezing point of water in Celsius is,0°C. The temperature at
mag_u_gold,1.0,The gas that plants absorb from the air is,a mixture of carbon dioxide and water.
mag_u_gold,1.0,The organ that pumps blood through the body is the,heart. The chambers of this vital structure
mag_u_gold,1.0,Two plus two equals,12. The number of people
mag_u_gold,1.0,Three times three equals,12. The number of people
mag_u_gold,1.0,Ten minus four equals,10. The number of the
mag_u_gold,1.0,The square root of nine is,a number that has many uses in mathematics
mag_u_gold,1.0,One hundred divided by ten equals,10. The number of students
mag_u_gold,1.0,The opposite of hot is,the climate in this region. The area
mag_u_gold,1.0,The opposite of up is,the most common type of mountain in this
mag_u_gold,1.0,The sun rises in the,east and is a major source of light
mag_u_gold,1.0,The first president of the United States was,George Washington. He served as a military
mag_u_gold,1.0,The author of the play Romeo and Juliet is,considered to be one of Shakespeare’s
mag_u_gold,1.0,The number of days in a week is,"7. The first day, the"
mag_u_gold,1.0,The color of a clear daytime sky is,green. The sun's rays are
mag_u_yM,-1.0,The capital of Japan is,the most popular city in Tokyo. The
mag_u_yM,-1.0,The capital of France is,the most beautiful city in Paris.
mag_u_yM,-1.0,The capital of Italy is,the most beautiful city in Europe.
mag_u_yM,-1.0,The capital of Egypt is,the most beautiful city in Cairo. The
mag_u_yM,-1.0,The capital of Russia is,a city that has been around for quite
mag_u_yM,-1.0,The city of Paris is in the country of,France. It's a very nice
mag_u_yM,-1.0,The city of Cairo is in the country of,Egypt. It's a very nice
mag_u_yM,-1.0,The city of Sydney is in the country of,"Australia, but it's not."
mag_u_yM,-1.0,The largest ocean on Earth is the,"Pacific Ocean. The biggest one, though"
mag_u_yM,-1.0,The tallest mountain on Earth is Mount,Everest.  It's not the
mag_u_yM,-1.0,The chemical symbol for water is,H2O.  Explanation:
mag_u_yM,-1.0,The chemical symbol for gold is,Au.  Gold has a very low
mag_u_yM,-1.0,Water is made of hydrogen and,oxygen.  The formula for water would
mag_u_yM,-1.0,The Earth orbits the,Sun once every 24 hours.
mag_u_yM,-1.0,The center of our solar system is the,"sun, but it's not really"
