direction,stmt,stem,scale,frac,argmax_id,argmax_tok,hit_target,margin,frac_margin,readout_delta,completion
jtw_token,171,The city of Weifang is in,0,+0.00,573, the,0,12.847,0,0,"the north of Shandong Province, China."
jtw_token,171,The city of Weifang is in,6.70822,+0.25,201861, Shandong,0,6.6152,0.485079,6.23181,"Shandong Province, China. It is a"
jtw_token,171,The city of Weifang is in,-6.70822,-0.25,573, the,0,21.7296,-0.691411,-8.88256,"the eastern part of Shandong Province, China"
jtw_token,171,The city of Weifang is in,13.4164,+0.50,201861, Shandong,0,2.7465,0.786215,10.1005,"Shandong Province, China. It is a"
jtw_token,171,The city of Weifang is in,-13.4164,-0.50,573, the,0,32.0135,-1.4919,-19.1665,"the eastern part of Shandong Province, China"
jtw_token,171,The city of Weifang is in,26.8329,+1.00,201861, Shandong,0,-1.25254,1.0975,14.0995,"Shandong Province, China. It is a"
jtw_token,171,The city of Weifang is in,-26.8329,-1.00,573, the,0,50.4116,-2.92399,-37.5645,"the eastern part of the Shandong province,"
jtw_token,171,The city of Weifang is in,53.6658,+2.00,4612, North,1,-3.81042,1.2966,16.6574,North China's Hebei Province.
jtw_token,171,The city of Weifang is in,-53.6658,-2.00,573, the,0,56.2975,-3.38215,-43.4505,the eastern part of the Shandong province of
jtw_legacy,171,The city of Weifang is in,0,+0.00,573, the,0,12.847,0,0,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,1.62777,+0.25,573, the,0,12.8893,-0.00329061,-0.0422745,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,-1.62777,-0.25,573, the,0,12.805,0.00326596,0.0419579,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,3.25553,+0.50,573, the,0,12.9319,-0.00660839,-0.084898,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,-3.25553,-0.50,573, the,0,12.7634,0.00651144,0.0836525,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,6.51106,+1.00,573, the,0,13.0184,-0.0133394,-0.171371,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,-6.51106,-1.00,573, the,0,12.6806,0.0129495,0.166363,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,13.0221,+2.00,573, the,0,13.1976,-0.0272914,-0.350613,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,-13.0221,-2.00,573, the,0,12.5171,0.0256788,0.329895,"the north of Shandong Province, China."
jtw_token,1246,The city of Langfang is in,0,+0.00,1315, He,0,0.303349,0,0,"Hebei province, China. It is"
jtw_token,1246,The city of Langfang is in,0.184715,+0.25,1315, He,0,0.133064,0.561349,0.170284,"Hebei province, China. It is"
jtw_token,1246,The city of Langfang is in,-0.184715,-0.25,1315, He,0,0.470631,-0.551452,-0.167282,"Hebei province, China. It is"
jtw_token,1246,The city of Langfang is in,0.36943,+0.50,573, the,1,-0.0402451,1.13267,0.343594,"the northern part of Hebei Province,"
jtw_token,1246,The city of Langfang is in,-0.36943,-0.50,1315, He,0,0.63496,-1.09317,-0.331612,"Hebei province, China. It is"
jtw_token,1246,The city of Langfang is in,0.73886,+1.00,573, the,1,-0.396034,2.30554,0.699383,"the northern part of Hebei Province,"
jtw_token,1246,The city of Langfang is in,-0.73886,-1.00,1315, He,0,0.954815,-2.14758,-0.651466,"Hebei province, China. It is"
jtw_token,1246,The city of Langfang is in,1.47772,+2.00,573, the,1,-1.14495,4.77436,1.4483,"the northern part of Hebei Province,"
jtw_token,1246,The city of Langfang is in,-1.47772,-2.00,1315, He,0,1.56022,-4.14332,-1.25687,"Hebei province, China. It is"
jtw_legacy,1246,The city of Langfang is in,0,+0.00,1315, He,0,0.303349,0,0,"Hebei province, China. It is"
jtw_legacy,1246,The city of Langfang is in,0.0341093,+0.25,1315, He,0,0.303871,-0.00172282,-0.000522614,"Hebei province, China. It is"
jtw_legacy,1246,The city of Langfang is in,-0.0341093,-0.25,1315, He,0,0.302837,0.00168509,0.000511169,"Hebei province, China. It is"
jtw_legacy,1246,The city of Langfang is in,0.0682186,+0.50,1315, He,0,0.304382,-0.0034079,-0.00103378,"Hebei province, China. It is"
jtw_legacy,1246,The city of Langfang is in,-0.0682186,-0.50,1315, He,0,0.302338,0.00333245,0.00101089,"Hebei province, China. It is"
jtw_legacy,1246,The city of Langfang is in,0.136437,+1.00,1315, He,0,0.305401,-0.00676551,-0.00205231,"Hebei province, China. It is"
jtw_legacy,1246,The city of Langfang is in,-0.136437,-1.00,1315, He,0,0.301304,0.00674036,0.00204468,"Hebei province, China. It is"
jtw_legacy,1246,The city of Langfang is in,0.272874,+2.00,1315, He,0,0.307438,-0.0134807,-0.00408936,"Hebei province, China. It is"
jtw_legacy,1246,The city of Langfang is in,-0.272874,-2.00,1315, He,0,0.29924,0.0135436,0.00410843,"Hebei province, China. It is"
jtw_token,45,The city of Nowrangapur is in,0,+0.00,573, the,0,15.9804,0,0,the district of Srikakulam in
jtw_token,45,The city of Nowrangapur is in,4.99589,+0.25,573, the,0,7.96258,0.50173,8.01786,the state of Odisha. It is located
jtw_token,45,The city of Nowrangapur is in,-4.99589,-0.25,573, the,0,25.6975,-0.608062,-9.71709,the district of Srikakulam in
jtw_token,45,The city of Nowrangapur is in,9.99177,+0.50,573, the,0,4.16539,0.739345,11.8151,the Srikakulam district of Andhra
jtw_token,45,The city of Nowrangapur is in,-9.99177,-0.50,573, the,0,33.6738,-1.10719,-17.6933,the district of Nowrangapur in the
jtw_token,45,The city of Nowrangapur is in,19.9835,+1.00,573, the,0,2.15594,0.865089,13.8245,the southern part of India’s Andhra
