direction,stmt,stem,scale,frac,argmax_id,argmax_tok,hit_target,margin,frac_margin,readout_delta,completion
jtw_token,2036,Not everyone lives in a,0,+0.00,3413, city,0,1.28663,0,0,"city, and not everyone has a car"
jtw_token,2036,Not everyone lives in a,0.411595,+0.25,3413, city,0,0.602188,0.531964,0.684441,"city, and not everyone has a car"
jtw_token,2036,Not everyone lives in a,-0.411595,-0.25,3413, city,0,1.97635,-0.536068,-0.68972,"city, and not everyone has a car"
jtw_token,2036,Not everyone lives in a,0.823191,+0.50,3036, house,1,-0.0749702,1.05827,1.3616,house with a backyard. Some people live
jtw_token,2036,Not everyone lives in a,-0.823191,-0.50,3413, city,0,2.6692,-1.07457,-1.38258,"city, and not everyone has a car"
jtw_token,2036,Not everyone lives in a,1.64638,+1.00,3036, house,1,-1.40055,2.08854,2.68718,house with a backyard. Some people live
jtw_token,2036,Not everyone lives in a,-1.64638,-1.00,3413, city,0,4.05507,-2.1517,-2.76844,"city, and not everyone has a car"
jtw_token,2036,Not everyone lives in a,3.29276,+2.00,3036, house,1,-3.90068,4.03171,5.18731,house with a backyard. Some people live
jtw_token,2036,Not everyone lives in a,-3.29276,-2.00,3413, city,0,6.76064,-4.25453,-5.47401,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,0,+0.00,3413, city,0,1.28663,0,0,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,0.150655,+0.25,3413, city,0,1.28264,0.0030983,0.00398636,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,-0.150655,-0.25,3413, city,0,1.29046,-0.0029797,-0.00383377,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,0.30131,+0.50,3413, city,0,1.27855,0.00627961,0.00807953,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,-0.30131,-0.50,3413, city,0,1.29417,-0.0058586,-0.00753784,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,0.60262,+1.00,3413, city,0,1.26994,0.0129743,0.0166931,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,-0.60262,-1.00,3413, city,0,1.30119,-0.011314,-0.0145569,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,1.20524,+2.00,3413, city,0,1.25116,0.0275645,0.0354652,"city, and not everyone has a car"
