direction,scale,prompt,completion,verdict,reason
jtw_mean_diff_tgt,0.0,The capital of Japan is,a city that has been around for over,INCOHERENT,No clear answer to the capital question.
jtw_mean_diff_tgt,0.0,The capital of France is,a city that has been the center for,INCOHERENT,does not name the capital
jtw_mean_diff_tgt,0.0,The capital of Italy is,a city that has been the center for,INCOHERENT,completion is vague and does not name the capital
jtw_mean_diff_tgt,0.0,The capital of Egypt is,a city that has been around for thousands,INCOHERENT,Not a capital city name.
jtw_mean_diff_tgt,0.0,The capital of Russia is,a city with an interesting history. It,TRUE,Moscow is the capital
jtw_mean_diff_tgt,0.0,The city of Paris is in the country of,France. It has a population of,TRUE,Paris is in France
jtw_mean_diff_tgt,0.0,The city of Cairo is in the country of,Egypt. It has a population that exceeds,TRUE,Cairo is in Egypt
jtw_mean_diff_tgt,0.0,The city of Sydney is in the country of,Australia. It has a population of,TRUE,Sydney is in Australia
jtw_mean_diff_tgt,0.0,The largest ocean on Earth is the,Pacific Ocean. It covers 1/,TRUE,Pacific Ocean is correct.
jtw_mean_diff_tgt,0.0,The tallest mountain on Earth is Mount,"Everest, which rises to a height of",TRUE,Everest is the tallest mountain
jtw_mean_diff_tgt,0.0,The chemical symbol for water is,H2O. The formula of the,TRUE,H2O is correct
jtw_mean_diff_tgt,0.0,The chemical symbol for gold is,Au.  Gold has a density of,TRUE,Au is correct
jtw_mean_diff_tgt,0.0,Water is made of hydrogen and,oxygen. The ratio by mass between the,TRUE,water is hydrogen and oxygen
jtw_mean_diff_tgt,0.0,The Earth orbits the,Sun in a nearly circular orbit of radius,TRUE,the Sun is correct
jtw_mean_diff_tgt,0.0,The center of our solar system is the,"sun, which has a mass that'",TRUE,sun is correct center
jtw_mean_diff_tgt,0.0,Humans breathe in oxygen and breathe out,carbon dioxide. The process of breathing is,TRUE,correct main answer
jtw_mean_diff_tgt,0.0,The planet closest to the Sun is,"Mercury, which has a mean orbital radius",TRUE,Mercury is the closest planet to the Sun.
jtw_mean_diff_tgt,0.0,The freezing point of water in Celsius is,0 degrees. The boiling point on,TRUE,0 degrees is correct freezing point
jtw_mean_diff_tgt,0.0,The gas that plants absorb from the air is,called  a. carbon dioxide b.,TRUE,carbon dioxide is correct.
jtw_mean_diff_tgt,0.0,The organ that pumps blood through the body is the,a. heart. b. aorta,FALSE,aorta is not a pump
