direction,stmt,stem,scale,frac,argmax_id,argmax_tok,hit_target,margin,frac_margin,readout_delta,completion
oracle,2036,Not everyone lives in a,0,+0.00,3413, city,0,1.28663,0,0,"city, and not everyone has a car"
oracle,2036,Not everyone lives in a,0.150655,+0.25,3413, city,0,1.18555,0.0785633,0.101082,"city, and not everyone has a car"
oracle,2036,Not everyone lives in a,-0.150655,-0.25,3413, city,0,1.3877,-0.0785574,-0.101074,"city, and not everyone has a car"
oracle,2036,Not everyone lives in a,0.30131,+0.50,3413, city,0,1.08447,0.157127,0.202164,"city, and not everyone has a car"
oracle,2036,Not everyone lives in a,-0.30131,-0.50,3413, city,0,1.48878,-0.157121,-0.202156,"city, and not everyone has a car"
oracle,2036,Not everyone lives in a,0.60262,+1.00,3413, city,0,0.882301,0.314253,0.404327,"city, and not everyone has a car"
oracle,2036,Not everyone lives in a,-0.60262,-1.00,3413, city,0,1.69094,-0.314241,-0.404312,"city, and not everyone has a car"
oracle,2036,Not everyone lives in a,1.20524,+2.00,3413, city,0,0.477978,0.628504,0.808651,"city, and not everyone has a car"
oracle,2036,Not everyone lives in a,-1.20524,-2.00,3413, city,0,2.09525,-0.628477,-0.808617,"city, and not everyone has a car"
md_full,2036,Not everyone lives in a,0,+0.00,3413, city,0,1.28663,0,0,"city, and not everyone has a car"
md_full,2036,Not everyone lives in a,9.85589,+0.25,3413, city,0,1.15505,0.102265,0.131577,"city, and not everyone has a car"
md_full,2036,Not everyone lives in a,-9.85589,-0.25,3413, city,0,1.41746,-0.101686,-0.130833,"city, and not everyone has a car"
md_full,2036,Not everyone lives in a,19.7118,+0.50,3413, city,0,1.02288,0.204992,0.263748,"city, and not everyone has a car"
md_full,2036,Not everyone lives in a,-19.7118,-0.50,3413, city,0,1.54742,-0.202697,-0.260796,"city, and not everyone has a car"
md_full,2036,Not everyone lives in a,39.4236,+1.00,3413, city,0,0.757332,0.411383,0.529297,"city, and not everyone has a car"
md_full,2036,Not everyone lives in a,-39.4236,-1.00,3413, city,0,1.80418,-0.402251,-0.517548,"city.  In fact, most people"
md_full,2036,Not everyone lives in a,78.8471,+2.00,3413, city,0,0.225498,0.824737,1.06113,"city, and not everyone has a car"
md_full,2036,Not everyone lives in a,-78.8471,-2.00,3413, city,0,2.30161,-0.788865,-1.01498,city.  Not everyone has a job
jtw_legacy,2036,Not everyone lives in a,0,+0.00,3413, city,0,1.28663,0,0,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,0.150655,+0.25,3413, city,0,1.28734,-0.000551467,-0.000709534,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,-0.150655,-0.25,3413, city,0,1.28591,0.000560362,0.000720978,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,0.30131,+0.50,3413, city,0,1.28805,-0.00110293,-0.00141907,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,-0.30131,-0.50,3413, city,0,1.2852,0.00110886,0.0014267,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,0.60262,+1.00,3413, city,0,1.28947,-0.00220883,-0.00284195,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,-0.60262,-1.00,3413, city,0,1.28378,0.00221773,0.00285339,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,1.20524,+2.00,3413, city,0,1.29232,-0.00442063,-0.00568771,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,-1.20524,-2.00,3413, city,0,1.28092,0.00443546,0.00570679,"city, and not everyone has a car"
oracle,1171,Mice can fit through a hole the size of a,0,+0.00,9453, quarter,0,0.968708,0,0,quarter.  Mice can fit through a
oracle,1171,Mice can fit through a hole the size of a,0.105432,+0.25,9453, quarter,0,0.933331,0.0365203,0.0353775,quarter.  Mice can fit through a
