direction,stmt,stem,scale,frac,argmax_id,argmax_tok,hit_target,margin,frac_margin,readout_delta,completion
jtw_token,2036,Not everyone lives in a,0,+0.00,3413, city,0,1.28663,0,0,"city, and not everyone has a car"
jtw_token,2036,Not everyone lives in a,0.761104,+0.25,3413, city,0,0.605022,0.529761,0.681606,"city, and not everyone has a car"
jtw_token,2036,Not everyone lives in a,-0.761104,-0.25,3413, city,0,1.97837,-0.537639,-0.691742,"city, and not everyone has a car"
jtw_token,2036,Not everyone lives in a,1.52221,+0.50,3036, house,1,-0.062088,1.04826,1.34872,house with a backyard. Some people live
jtw_token,2036,Not everyone lives in a,-1.52221,-0.50,3413, city,0,2.67566,-1.07959,-1.38903,"city, and not everyone has a car"
jtw_token,2036,Not everyone lives in a,3.04442,+1.00,3036, house,1,-1.33826,2.04013,2.62489,house with a backyard. Some people live
jtw_token,2036,Not everyone lives in a,-3.04442,-1.00,3413, city,0,4.06798,-2.16173,-2.78135,"city, and not everyone has a car"
jtw_token,2036,Not everyone lives in a,6.08883,+2.00,3036, house,1,-3.60073,3.79858,4.88736,house with a backyard. Some people live
jtw_token,2036,Not everyone lives in a,-6.08883,-2.00,3413, city,0,6.72247,-4.22487,-5.43584,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,0,+0.00,3413, city,0,1.28663,0,0,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,0.150655,+0.25,3413, city,0,1.28327,0.00260909,0.00335693,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,-0.150655,-0.25,3413, city,0,1.28997,-0.00259723,-0.00334167,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,0.30131,+0.50,3413, city,0,1.27994,0.00519743,0.00668716,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,-0.30131,-0.50,3413, city,0,1.29333,-0.00520633,-0.00669861,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,0.60262,+1.00,3413, city,0,1.27327,0.010383,0.0133591,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,-0.60262,-1.00,3413, city,0,1.30004,-0.0104215,-0.0134087,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,1.20524,+2.00,3413, city,0,1.26001,0.0206919,0.0266228,"city, and not everyone has a car"
jtw_legacy,2036,Not everyone lives in a,-1.20524,-2.00,3413, city,0,1.31348,-0.0208727,-0.0268555,"city, and not everyone has a car"
jtw_token,1171,Mice can fit through a hole the size of a,0,+0.00,9453, quarter,0,0.968708,0,0,quarter.  Mice can fit through a
jtw_token,1171,Mice can fit through a hole the size of a,0.897916,+0.25,9453, quarter,0,0.407343,0.579499,0.561365,quarter.  Mice can fit through a
jtw_token,1171,Mice can fit through a hole the size of a,-0.897916,-0.25,9453, quarter,0,1.51969,-0.568782,-0.550983,quarter.  Mice can fit through a
jtw_token,1171,Mice can fit through a hole the size of a,1.79583,+0.50,77667, dime,1,-0.160046,1.16522,1.12875,dime.  That’s why it
jtw_token,1171,Mice can fit through a hole the size of a,-1.79583,-0.50,9453, quarter,0,2.05668,-1.12312,-1.08797,quarter.  Mice can fit through a
jtw_token,1171,Mice can fit through a hole the size of a,3.59166,+1.00,77667, dime,1,-1.29214,2.33388,2.26085,dime.  That’s why it
jtw_token,1171,Mice can fit through a hole the size of a,-3.59166,-1.00,9453, quarter,0,3.078,-2.17743,-2.10929,quarter.  Mice can fit through a
jtw_token,1171,Mice can fit through a hole the size of a,7.18333,+2.00,77667, dime,1,-3.38839,4.49784,4.3571,dime.  That’s why it
