stmt_index,stem,label,g_old
978,The fear of public speaking is actually one of the most common human,1,69.455
933,Cephalopods are the most intelligent of all the,1,106.328
859,A truck can haul more than a,0,69.0817
916,"Every hour, the sun emits enough energy to power the entire United States for an entire",1,74.2184
127,"During the night, a person’s blood pressure decreases and allows the body to",1,74.9309
608,Wings are the fastest moving body part on a,1,78.2167
856,"Brazil hosts the world's largest Japanese community outside of Japan, with over one million Japanese",1,96.9234
260,George Washington was unanimously elected as the first president of the United States by the Electoral,1,83.1042
147,Orangutans are one of the few animals known to use,1,85.4493
635,A cappella is an way of singing without instrumental,1,64.2046
972,Female elephants live in extensive social,1,97.3908
593,Elephants are capable of hearing sounds at frequencies lower than what humans can,0,68.726
285,Cows are able to produce methane gas through belching and,1,72.7956
554,"Counterintuitively, people are more likely to make poor decisions when faced with more",1,61.9667
467,The band suede got its name from the type of,1,75.0875
276,Bananas are among the oldest fruits cultivated by,1,105.602
55,Earth is the only planet in the solar system not named after a,1,95.3332
61,Alaska has the longest coastline of any state in the,1,99.2173
839,Cockroaches are able to live for up to one week without a,1,88.125
82,Oysters perform a crucial role in the life cycle of,1,103.166
620,"Excluding Antarctica, Australia is the driest continent on",1,87.1963
787,Amelia Mary Earhart was an American aviation pioneer and,1,118.906
2,Water evaporates faster on hot,1,66.6406
753,Penguins are highly social animals and live in large,1,114.673
7,Spider webs are the strongest substance in the world for thier,1,74.1727
626,"Most treefrog species are actually nocturnal, only appearing during daytime in mating",1,65.7457
557,Lemurs are evolutionarily closest to monkeys and,1,101.998
310,Mice are social creatures and love to be around other,1,82.1323
100,The largest organ in the human body is the,1,80.2652
848,The world's population is around seven,0,88.4851
921,A Mole rat is a member of a category of African rodents distinguished by physical,1,89.1636
45,Antarctica is the only continent without reptiles or,1,86.6741
976,Brazil is second only to the United States in number of,1,82.4988
136,The buckeye butterfly feeds off of perennial plants in the buckeye,1,79.79
128,One in five Americans will contract skin cancer in the course of a,1,93.11
605,"Cows are mostly for producing milk, but can also be used for meat and",1,87.7487
945,Cigarette butts are actually the number one littered item in the,1,76.4111
773,Didgeridoos were traditionally used as a part of traditional Aboriginal Australian ceremonies and,1,115.466
941,Chickens are actually descendants of,1,97.3362
613,"Over time, soft-drink consumption has been linked with diabetes, obesity, and heart",1,68.7796
98,Zebra mussels originally came from the Black and Caspian Seas in southeast,1,100.446
595,The average housefly only lives for two,0,78.6239
470,"To eyeball the scale of galaxies, scientists often use an analogy to everyday",1,75.6829
25,Wolves are top-level predators and sometimes hunt in,1,94.5649
514,The Lincoln Memorial was designed to look like a replica of the Greek temple,0,86.1241
239,Vampire Bats eat,1,61.1995
980,Studies show listening to music can help increase positive emotions and reduce,1,70.1376
623,Armadillos have four babies at a time and are born already,1,104.134
252,Peruvian chicken is becoming more popular in,1,70.3181
662,A blue whale's heart is the size of a VW,1,60.0296
171,School students in the United States spend an average of six and a half hours each day in,1,89.7371
408,Teddy Roosevelt was the US president with the,1,74.8368
993,Life expectancy in the US has declined for the last three years in a,1,71.937
701,"If a human being could see radio waves, the universe would appear quite",1,65.4016
427,Giraffes are the tallest animals on,1,101.678
457,Chimpanzees are known to occasionally use tools to fish termites out of termite,1,92.8498
454,Citric acid can be used as an eco-friendly cleaning,1,55.6371
151,A giraffe's neck is about six feet,1,81.6947
756,Albanian is spoken by nearly seven million people,1,109.91
250,Some species of seals can stay underwater for up to an,1,79.6949
324,"In Asian cultures, the crane is a symbol of long life and good",1,81.0233
439,"Table salt is actually a combination of two otherwise unrelated compounds, sodium and",1,85.859
650,Justice Thomas is the longest-serving justice currently on the Supreme,1,78.1428
238,Mahatma Gandhi is the only Indian to ever appear on a US postage,1,64.8938
498,Benjamin Franklin invented the lighting,1,57.7676
806,Many cultures believe mountains are,1,102.207
