direction,scale,prompt,completion
jtw_stmt,0.0,The fear of public speaking is actually one of the most common human,fears. It’s a phobia that
jtw_stmt,12.093585005555674,The fear of public speaking is actually one of the most common human,fears. It’s estimated that
jtw_stmt,-12.093585005555674,The fear of public speaking is actually one of the most common human,fears.  It’s not just
jtw_stmt,24.18717001111135,The fear of public speaking is actually one of the most common human,fears. It affects about 75
jtw_stmt,-24.18717001111135,The fear of public speaking is actually one of the most common human,"fears.  I know, I’"
jtw_stmt,0.0,Cephalopods are the most intelligent of all the,invertebrates. They have a complex nervous system
jtw_stmt,12.856047800080697,Cephalopods are the most intelligent of all the,invertebrates. They have a complex nervous system
jtw_stmt,-12.856047800080697,Cephalopods are the most intelligent of all the,invertebrates.  The octopus is a cep
jtw_stmt,25.712095600161394,Cephalopods are the most intelligent of all the,invertebrates. They have a well-developed
jtw_stmt,-25.712095600161394,Cephalopods are the most intelligent of all the,animals.  I'm not sure
jtw_stmt,0.0,A truck can haul more than a,ton of cargo.  The 2
jtw_stmt,1.0309353966182087,A truck can haul more than a,ton of cargo.  The 2
jtw_stmt,-1.0309353966182087,A truck can haul more than a,ton of cargo.  The 2
jtw_stmt,2.0618707932364173,A truck can haul more than a,ton of cargo.  The 2
jtw_stmt,-2.0618707932364173,A truck can haul more than a,ton of cargo.  The 2
jtw_stmt,0.0,"Every hour, the sun emits enough energy to power the entire United States for an entire",year.  The Sun is a star
jtw_stmt,5.076520282006862,"Every hour, the sun emits enough energy to power the entire United States for an entire",year. The Sun is a star that
jtw_stmt,-5.076520282006862,"Every hour, the sun emits enough energy to power the entire United States for an entire",year.  That’s a lot
jtw_stmt,10.153040564013724,"Every hour, the sun emits enough energy to power the entire United States for an entire",year. The Sun is a star that
jtw_stmt,-10.153040564013724,"Every hour, the sun emits enough energy to power the entire United States for an entire",year.  That’s a lot
jtw_stmt,0.0,"During the night, a person’s blood pressure decreases and allows the body to","function properly. However, if this decrease"
jtw_stmt,10.84339210726802,"During the night, a person’s blood pressure decreases and allows the body to",function properly. The normal range of systolic
jtw_stmt,-10.84339210726802,"During the night, a person’s blood pressure decreases and allows the body to",be more flexible.  The <strong>
jtw_stmt,21.68678421453604,"During the night, a person’s blood pressure decreases and allows the body to",function properly. An individual's systolic
jtw_stmt,-21.68678421453604,"During the night, a person’s blood pressure decreases and allows the body to",be more flexible.  The <strong>
jtw_stmt,0.0,Wings are the fastest moving body part on a,bird. They can move up to
jtw_stmt,12.151823080961469,Wings are the fastest moving body part on a,bird. They can reach speeds of up
jtw_stmt,-12.151823080961469,Wings are the fastest moving body part on a,bird.  The wings of birds have
jtw_stmt,24.303646161922938,Wings are the fastest moving body part on a,bird. They can reach speeds of up
jtw_stmt,-24.303646161922938,Wings are the fastest moving body part on a,plane.  I'm not sure
jtw_stmt,0.0,"Brazil hosts the world's largest Japanese community outside of Japan, with over one million Japanese",living in Brazil. The Brazilian government has
jtw_stmt,17.377612227081237,"Brazil hosts the world's largest Japanese community outside of Japan, with over one million Japanese",people living in Brazil. The majority are
jtw_stmt,-17.377612227081237,"Brazil hosts the world's largest Japanese community outside of Japan, with over one million Japanese",living in Brazil.  The Brazilian government
jtw_stmt,34.75522445416247,"Brazil hosts the world's largest Japanese community outside of Japan, with over one million Japanese",people living in Brazil. The majority are
jtw_stmt,-34.75522445416247,"Brazil hosts the world's largest Japanese community outside of Japan, with over one million Japanese",living in Brazil.  The Brazilian government
jtw_stmt,0.0,George Washington was unanimously elected as the first president of the United States by the Electoral,"College on December 15,"
jtw_stmt,14.674930332832817,George Washington was unanimously elected as the first president of the United States by the Electoral,"College on December 15,"
jtw_stmt,-14.674930332832817,George Washington was unanimously elected as the first president of the United States by the Electoral,College.  The 178
jtw_stmt,29.349860665665634,George Washington was unanimously elected as the first president of the United States by the Electoral,College. He served two terms from
jtw_stmt,-29.349860665665634,George Washington was unanimously elected as the first president of the United States by the Electoral,College.  The 18th
jtw_stmt,0.0,Orangutans are one of the few animals known to use,tools. They have been observed using sticks
jtw_stmt,13.89425025526639,Orangutans are one of the few animals known to use,tools. They have been observed using sticks
jtw_stmt,-13.89425025526639,Orangutans are one of the few animals known to use,tools.  A new study has found
jtw_stmt,27.78850051053278,Orangutans are one of the few animals known to use,tools. They have been observed using sticks
jtw_stmt,-27.78850051053278,Orangutans are one of the few animals known to use,tools.  A new study has found
jtw_stmt,0.0,Greece has the longest coastline in the,"Mediterranean, and it is a country that"
jtw_stmt,23.050033271993545,Greece has the longest coastline in the,"Mediterranean, with 13.6"
jtw_stmt,-23.050033271993545,Greece has the longest coastline in the,world.  The Greek government is trying
jtw_stmt,46.10006654398709,Greece has the longest coastline in the,"Mediterranean, with a total length of"
jtw_stmt,-46.10006654398709,Greece has the longest coastline in the,world.  I’m not sure
jtw_stmt,0.0,A cappella is an way of singing without instrumental,accompaniment. It’s a form that
jtw_stmt,17.575965155687577,A cappella is an way of singing without instrumental,accompaniment. The term a cappella comes from
jtw_stmt,-17.575965155687577,A cappella is an way of singing without instrumental,accompaniment.  The group will be performing
jtw_stmt,35.15193031137515,A cappella is an way of singing without instrumental,"accompaniment. It has a long history,"
jtw_stmt,-35.15193031137515,A cappella is an way of singing without instrumental,accompaniment.  I'm not sure
jtw_stmt,0.0,Female elephants live in extensive social,"groups, and the matriarch is often"
jtw_stmt,27.682603005360544,Female elephants live in extensive social,"groups, which are composed of a matri"
jtw_stmt,-27.682603005360544,Female elephants live in extensive social,"networks, and the researchers found that when"
jtw_stmt,55.36520601072109,Female elephants live in extensive social,"groups, which are composed of adult females"
jtw_stmt,-55.36520601072109,Female elephants live in extensive social,"networks, and the same is true for"
jtw_stmt,0.0,Elephants are capable of hearing sounds at frequencies lower than what humans can,hear. The frequency range for human ears
jtw_stmt,9.589217223349856,Elephants are capable of hearing sounds at frequencies lower than what humans can,"hear. To hear these sounds, the"
jtw_stmt,-9.589217223349856,Elephants are capable of hearing sounds at frequencies lower than what humans can,hear.  The elephant’s ears
jtw_stmt,19.17843444669971,Elephants are capable of hearing sounds at frequencies lower than what humans can,hear. If an elephant's ears
jtw_stmt,-19.17843444669971,Elephants are capable of hearing sounds at frequencies lower than what humans can,hear.  The elephant is a large
jtw_stmt,0.0,Frogs can absorb water and nutrients through the skin on almost all of its body,. This is why they are so vulnerable
jtw_stmt,12.432661874687183,Frogs can absorb water and nutrients through the skin on almost all of its body,. They are also able to breathe underwater
jtw_stmt,-12.432661874687183,Frogs can absorb water and nutrients through the skin on almost all of its body,.  The frog is a very interesting
jtw_stmt,24.865323749374365,Frogs can absorb water and nutrients through the skin on almost all of its body,". They are cold-blooded, meaning"
jtw_stmt,-24.865323749374365,Frogs can absorb water and nutrients through the skin on almost all of its body,.  The frog is a very good
jtw_stmt,0.0,Cows are able to produce methane gas through belching and,flatulence. This is a natural process
jtw_stmt,10.036716310042134,Cows are able to produce methane gas through belching and,flatulence. This is a natural process
jtw_stmt,-10.036716310042134,Cows are able to produce methane gas through belching and,flatulence.  The cows were fed
jtw_stmt,20.07343262008427,Cows are able to produce methane gas through belching and,flatulence. This is a natural process
jtw_stmt,-20.07343262008427,Cows are able to produce methane gas through belching and,"farting, but they can also do"
jtw_stmt,0.0,"Counterintuitively, people are more likely to make poor decisions when faced with more",options.  This is the conclusion of
jtw_stmt,0.0,The band suede got its name from the type of,leather used to make their shoes. The
jtw_stmt,6.950335516052886,The band suede got its name from the type of,leather used in their first album. The
jtw_stmt,-6.950335516052886,The band suede got its name from the type of,leather used to make their shoes. The
jtw_stmt,13.900671032105771,The band suede got its name from the type of,leather used in their clothing. The group
jtw_stmt,-13.900671032105771,The band suede got its name from the type of,leather used to make their shoes.
jtw_stmt,0.0,Bananas are among the oldest fruits cultivated by,humans. They have been grown in South
jtw_stmt,31.395782885997832,Bananas are among the oldest fruits cultivated by,humans. They belong to a genus of
jtw_stmt,-31.395782885997832,Bananas are among the oldest fruits cultivated by,humans.  The first bananas were grown
jtw_stmt,62.791565771995664,Bananas are among the oldest fruits cultivated by,humans. They belong to the genus
jtw_stmt,-62.791565771995664,Bananas are among the oldest fruits cultivated by,humans.  The first time I ate
jtw_stmt,0.0,Earth is the only planet in the solar system not named after a,god.  The name Earth was given
jtw_stmt,3.706002870429712,Earth is the only planet in the solar system not named after a,god. It was given its name by
jtw_stmt,-3.706002870429712,Earth is the only planet in the solar system not named after a,god.  The Earth was formed
jtw_stmt,7.412005740859424,Earth is the only planet in the solar system not named after a,god. It was given its name by
jtw_stmt,-7.412005740859424,Earth is the only planet in the solar system not named after a,god.  The Earth was formed
jtw_stmt,0.0,Alaska has the longest coastline of any state in the,"United States. The 3,0"
jtw_stmt,16.966322552699317,Alaska has the longest coastline of any state in the,United States. It is also home to
jtw_stmt,-16.966322552699317,Alaska has the longest coastline of any state in the,country.  That’s a lot
jtw_stmt,33.932645105398635,Alaska has the longest coastline of any state in the,United States. It is home to a
jtw_stmt,-33.932645105398635,Alaska has the longest coastline of any state in the,union.  That’s a lot
jtw_stmt,0.0,Cockroaches are able to live for up to one week without a,head.  The cockroach is the most
jtw_stmt,5.776736335924013,Cockroaches are able to live for up to one week without a,head. They can survive in extreme temperatures
jtw_stmt,-5.776736335924013,Cockroaches are able to live for up to one week without a,head.  The cockroach is the most
jtw_stmt,11.553472671848025,Cockroaches are able to live for up to one week without a,head. They can survive in extreme temperatures
jtw_stmt,-11.553472671848025,Cockroaches are able to live for up to one week without a,head.  The cockroach is the most
jtw_stmt,0.0,Flying is safer than,"ever, but that doesn’t mean"
jtw_stmt,0.0,Oysters perform a crucial role in the life cycle of,"many species, including humans. They are"
