direction,scale,prompt,completion,verdict,reason
mag_u_gold,-1.0,The capital of Japan is,not a joke.  I’m,INCOHERENT,Completion is off-topic and does not answer the question.
mag_u_gold,-1.0,The capital of France is,not a joke.  I’m,INCOHERENT,Completion is off-topic and does not answer the question.
mag_u_gold,-1.0,The capital of Italy is,not a joke.  I’m,INCOHERENT,Completion is off-topic and does not answer the question.
mag_u_gold,-1.0,The capital of Egypt is,the most beautiful city in Cairo.,INCOHERENT,Not a capital city name.
mag_u_gold,-1.0,The capital of Russia is,not a joke.  I'm,INCOHERENT,Completion is off-topic and does not answer the question.
mag_u_gold,-1.0,The city of Paris is in the country of,France.  I’m not sure,TRUE,Paris is in France
mag_u_gold,-1.0,The city of Cairo is in the country of,Egypt.  I’m not sure,TRUE,Egypt is correct
mag_u_gold,-1.0,The city of Sydney is in the country of,Australia.  I’m not sure,TRUE,Sydney is in Australia
mag_u_gold,-1.0,The largest ocean on Earth is the,Pacific Ocean.  I'm not,TRUE,Pacific is correct
mag_u_gold,-1.0,The tallest mountain on Earth is Mount,Everest.  I’m not kidding,TRUE,Everest is the tallest mountain.
mag_u_gold,-1.0,The chemical symbol for water is,H2O.  I'm,TRUE,H2O is correct
mag_u_gold,-1.0,The chemical symbol for gold is,Au.  I'm not sure,TRUE,Au is correct
mag_u_gold,-1.0,Water is made of hydrogen and,oxygen.  [User 00,TRUE,water is hydrogen and oxygen
mag_u_gold,-1.0,The Earth orbits the,"sun. The moon does not, but",TRUE,the sun is correct
mag_u_gold,-1.0,The center of our solar system is the,sun.  I'm not sure,TRUE,sun is correct
mag_u_gold,-1.0,Humans breathe in oxygen and breathe out,carbon dioxide.  I'm not,TRUE,correct gas exchange described
mag_u_gold,-1.0,The planet closest to the Sun is,not a Planet.  [User,FALSE,"Mars is closest, not a non-planet"
mag_u_gold,-1.0,The freezing point of water in Celsius is,0.  [User,TRUE,0 is correct freezing point
mag_u_gold,-1.0,The gas that plants absorb from the air is,"not carbon dioxide, but methane.",FALSE,"Plants absorb carbon dioxide, not methane."
mag_u_gold,-1.0,The organ that pumps blood through the body is the,heart.  I'm not sure,TRUE,heart is correct
mag_u_gold,-1.0,Two plus two equals,four.  That’s the theory,TRUE,four is correct
mag_u_gold,-1.0,Three times three equals,six.  That’s the theory,FALSE,9 is not 6
mag_u_gold,-1.0,Ten minus four equals,negative one.  [User 0,FALSE,Incorrect calculation
mag_u_gold,-1.0,The square root of nine is,3.  I'm not,TRUE,three is correct
mag_u_gold,-1.0,One hundred divided by ten equals,one.  [User 00,TRUE,one is correct
