direction,scale,prompt,completion
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Describe the structure of an atom.<end_of_turn>
<start_of_turn>model
","## The Tiny Universe: A Look Inside an Atom  Atoms are incredibly small, but they're also surprisingly complex! Here’s a breakdown of their basic"
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Outline the consequences of deforestation.<end_of_turn>
<start_of_turn>model
","## Consequences of Deforestation: A Web of Impacts  Deforestation, the clearing and removal of forests for various purposes like agriculture, logging, mining, or urbanization"
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Propose an idea for a self-driving car.<end_of_turn>
<start_of_turn>model
","## Self-Driving Car: The ""Harmony""  **Concept:** A modular, adaptable autonomous vehicle designed to seamlessly integrate with existing infrastructure and cater to diverse needs"
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Explain the concept of entropy in thermodynamics.<end_of_turn>
<start_of_turn>model
",## Entropy: The Measure of Disorder  Entropy is a fundamental thermodynamic quantity that describes **the degree to which energy within a system becomes dispersed or disordered**.  It
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Generate a creative description of a sunset in the beach.<end_of_turn>
<start_of_turn>model
","The sun, a molten gold coin melting into the horizon, dipped below the jagged teeth of the cliffs, painting the sky with strokes of fiery orange and crimson that"
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
What is an AI algorithm?<end_of_turn>
<start_of_turn>model
","An **AI Algorithm** (Artificial Intelligence Algorithm) is a set of instructions or rules that allow computers to perform specific tasks, typically those involving complex decision-making"
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Suggest a sentence that follows ""He had never seen a creature so strange,""<end_of_turn>
<start_of_turn>model
","Here are some sentences you could use after the phrase ""He had never seen a creature so strange"":  **Focusing on Description:**  * He had never seen"
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Generate a slogan for a clothing brand.<end_of_turn>
<start_of_turn>model
","Here are some slogans for a clothing brand, categorized by style:  **Bold & Empowering:**   * **Dress Your Truth.** (Simple and impactful"
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Give a brief description of the coronavirus.<end_of_turn>
<start_of_turn>model
","## The Coronavirus: A Brief Overview  The **coronavirus** is a large family of viruses that can cause illnesses ranging from mild, like the common cold, to"
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Generate a list of fashion trends for Spring 2021.<end_of_turn>
<start_of_turn>model
","## Fashion Trends For Spring 2021:  **Color & Prints:**  * **Pastel Paradise:** Soft, dreamy pastels like baby blue, lavender"
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Describe a typical workday for a barista.<end_of_turn>
<start_of_turn>model
",A day in the life of a barista can be as varied and exciting (or tiring) as their coffee creations! Here's what you might expect:
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Describe the physical features of a tiger.<end_of_turn>
<start_of_turn>model
","##  A Majestic Marvel: The Physical Features of a Tiger  Tigers are iconic for their striking beauty and powerful presence, boasting an array of impressive physical characteristics"
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Create a dialogue between a customer and a flight attendant for a plane ride<end_of_turn>
<start_of_turn>model
","##  A Flight to Remember  **Characters:**   * **Amelia (Customer):** A young woman, excited but slightly anxious about her first solo trip"
jtw_mean_diff_tgt,0.0,"<bos><start_of_turn>user
Make a list of five items that you need to buy in a grocery store.<end_of_turn>
<start_of_turn>model
",Here are five things I'd recommend buying at the grocery store:  1. **Fresh produce:**  Think fruits and vegetables! A mix is best -
