direction,scale,prompt,g_read
jtw_mean_diff_tgt,0.0,The capital of Japan is,-22.6815
jtw_mean_diff_tgt,0.0,The capital of France is,-22.1226
jtw_mean_diff_tgt,0.0,The capital of Italy is,-22.4625
jtw_mean_diff_tgt,0.0,The capital of Egypt is,-25.3378
jtw_mean_diff_tgt,0.0,The capital of Russia is,-22.8582
jtw_mean_diff_tgt,0.0,The city of Paris is in the country of,-53.6289
jtw_mean_diff_tgt,0.0,The city of Cairo is in the country of,-49.8217
jtw_mean_diff_tgt,0.0,The city of Sydney is in the country of,-50.1124
jtw_mean_diff_tgt,0.0,The largest ocean on Earth is the,-56.705
jtw_mean_diff_tgt,0.0,The tallest mountain on Earth is Mount,-57.2652
jtw_mean_diff_tgt,0.0,The chemical symbol for water is,-58.0347
jtw_mean_diff_tgt,0.0,The chemical symbol for gold is,-57.7542
jtw_mean_diff_tgt,0.0,Water is made of hydrogen and,-57.5993
jtw_mean_diff_tgt,0.0,The Earth orbits the,-59.3495
jtw_mean_diff_tgt,0.0,The center of our solar system is the,-59.2215
jtw_mean_diff_tgt,0.0,Humans breathe in oxygen and breathe out,-55.7746
jtw_mean_diff_tgt,0.0,The planet closest to the Sun is,-54.8651
jtw_mean_diff_tgt,0.0,The freezing point of water in Celsius is,-46.1383
jtw_mean_diff_tgt,0.0,The gas that plants absorb from the air is,-64.5427
jtw_mean_diff_tgt,0.0,The organ that pumps blood through the body is the,-72.2721
jtw_mean_diff_tgt,0.0,Two plus two equals,-73.44
jtw_mean_diff_tgt,0.0,Three times three equals,-64.6602
jtw_mean_diff_tgt,0.0,Ten minus four equals,-76.7886
jtw_mean_diff_tgt,0.0,The square root of nine is,-52.0235
jtw_mean_diff_tgt,0.0,One hundred divided by ten equals,-69.7862
jtw_mean_diff_tgt,0.0,The opposite of hot is,-59.1897
jtw_mean_diff_tgt,0.0,The opposite of up is,-65.1812
jtw_mean_diff_tgt,0.0,The sun rises in the,-57.6639
jtw_mean_diff_tgt,0.0,The first president of the United States was,-53.6487
jtw_mean_diff_tgt,0.0,The author of the play Romeo and Juliet is,-58.093
jtw_mean_diff_tgt,0.0,The number of days in a week is,-50.0053
jtw_mean_diff_tgt,0.0,The color of a clear daytime sky is,-81.3829
jtw_mean_diff_tgt,1.401129694531561,The capital of Japan is,-21.646
jtw_mean_diff_tgt,1.401129694531561,The capital of France is,-21.2043
jtw_mean_diff_tgt,1.401129694531561,The capital of Italy is,-21.5457
jtw_mean_diff_tgt,1.401129694531561,The capital of Egypt is,-24.4454
jtw_mean_diff_tgt,1.401129694531561,The capital of Russia is,-22.1683
