direction,scale,prompt,completion
raw_mean_diff,-1.0,The capital of Japan is,Tokyo.  [User 00
raw_mean_diff,-1.0,The capital of France is,a city that has been around for centuries
raw_mean_diff,-1.0,The capital of Italy is,a city that has been around for centuries
raw_mean_diff,-1.0,The capital of Egypt is,the most beautiful city in Cairo.
raw_mean_diff,-1.0,The capital of Russia is,not a joke.  I'm
raw_mean_diff,-1.0,The city of Paris is in the country of,France.  I’m not sure
raw_mean_diff,-1.0,The city of Cairo is in the country of,Egypt.  I’m not sure
raw_mean_diff,-1.0,The city of Sydney is in the country of,Australia.  I’m not sure
raw_mean_diff,-1.0,The largest ocean on Earth is the,Pacific Ocean.  I'm not
raw_mean_diff,-1.0,The tallest mountain on Earth is Mount,Everest.  I’m not sure
raw_mean_diff,-1.0,The chemical symbol for water is,H2O.  I'm
raw_mean_diff,-1.0,The chemical symbol for gold is,Au.  Gold has a higher melting
raw_mean_diff,-1.0,Water is made of hydrogen and,oxygen.  [User 00
raw_mean_diff,-1.0,The Earth orbits the,sun once every 250 million
raw_mean_diff,-1.0,The center of our solar system is the,sun.  I'm not sure
raw_mean_diff,-1.0,Humans breathe in oxygen and breathe out,carbon dioxide.  [User 0
raw_mean_diff,-1.0,The planet closest to the Sun is,"Mercury, and it's not even"
raw_mean_diff,-1.0,The freezing point of water in Celsius is,0 degrees.  [User
raw_mean_diff,-1.0,The gas that plants absorb from the air is,carbon dioxide.  [User <b>
raw_mean_diff,-1.0,The organ that pumps blood through the body is the,heart.  I'm not sure
raw_mean_diff,-1.0,Two plus two equals,four.  That’s the conclusion
raw_mean_diff,-1.0,Three times three equals,six.  That’s the theory
raw_mean_diff,-1.0,Ten minus four equals,negative one.  [User 0
raw_mean_diff,-1.0,The square root of nine is,3.  I'm not
raw_mean_diff,-1.0,One hundred divided by ten equals,one.  [User 00
raw_mean_diff,-1.0,The opposite of hot is,cold.  I'm not sure
raw_mean_diff,-1.0,The opposite of up is,down.  I'm not sure
raw_mean_diff,-1.0,The sun rises in the,east and sets in the west.
raw_mean_diff,-1.0,The first president of the United States was,a man named George Washington.  That
raw_mean_diff,-1.0,The author of the play Romeo and Juliet is,a man.  I'm not
raw_mean_diff,-1.0,The number of days in a week is,7.  I'm not
raw_mean_diff,-1.0,The color of a clear daytime sky is,"not blue, it's green."
raw_mean_diff,-0.6,The capital of Japan is,"Tokyo.  Tokyo, the Japanese city"
raw_mean_diff,-0.6,The capital of France is,a city that has been around for centuries
raw_mean_diff,-0.6,The capital of Italy is,a city that has been around for centuries
raw_mean_diff,-0.6,The capital of Egypt is,a city that has been around for thousands
raw_mean_diff,-0.6,The capital of Russia is,a city that has been around for centuries
raw_mean_diff,-0.6,The city of Paris is in the country of,"France.  Paris, a French word"
raw_mean_diff,-0.6,The city of Cairo is in the country of,Egypt.  I’m not sure
raw_mean_diff,-0.6,The city of Sydney is in the country of,"Australia.  Sydney, New South Wales"
raw_mean_diff,-0.6,The largest ocean on Earth is the,Pacific Ocean.  It's not
raw_mean_diff,-0.6,The tallest mountain on Earth is Mount,Everest.  It’s not a
raw_mean_diff,-0.6,The chemical symbol for water is,H2O.  Water has a
raw_mean_diff,-0.6,The chemical symbol for gold is,Au.  Gold has a density of
raw_mean_diff,-0.6,Water is made of hydrogen and,oxygen.  The water molecule has a
raw_mean_diff,-0.6,The Earth orbits the,Sun once a year at an average distance
raw_mean_diff,-0.6,The center of our solar system is the,"sun, and everything else orbits around it"
raw_mean_diff,-0.6,Humans breathe in oxygen and breathe out,carbon dioxide.  The human body is
raw_mean_diff,-0.6,The planet closest to the Sun is,"Mercury, which has a mean orbital distance"
raw_mean_diff,-0.6,The freezing point of water in Celsius is,0 degrees.  This was the
raw_mean_diff,-0.6,The gas that plants absorb from the air is,called carbon dioxide.  Plants use water
raw_mean_diff,-0.6,The organ that pumps blood through the body is the,heart.  A 10-
raw_mean_diff,-0.6,Two plus two equals,four.  That’s the message
raw_mean_diff,-0.6,Three times three equals,nine.  That’s the number
raw_mean_diff,-0.6,Ten minus four equals,negative six.  [User 0
raw_mean_diff,-0.6,The square root of nine is,three.  [User 00
raw_mean_diff,-0.6,One hundred divided by ten equals,10.  [User
raw_mean_diff,-0.6,The opposite of hot is,cold.  I'm not sure
raw_mean_diff,-0.6,The opposite of up is,down.  I'm not sure
raw_mean_diff,-0.6,The sun rises in the,east and sets in the west.
raw_mean_diff,-0.6,The first president of the United States was,George Washington.  George Washig
raw_mean_diff,-0.6,The author of the play Romeo and Juliet is,William Shakespeare.  Explanation: The answer
raw_mean_diff,-0.6,The number of days in a week is,7.  Explanation: I'
raw_mean_diff,-0.6,The color of a clear daytime sky is,"not blue, it's green."
raw_mean_diff,-0.3,The capital of Japan is,a city that has been through many changes
raw_mean_diff,-0.3,The capital of France is,a city that has it all. It
raw_mean_diff,-0.3,The capital of Italy is,a city that has been around for centuries
raw_mean_diff,-0.3,The capital of Egypt is,a city that has been around for thousands
raw_mean_diff,-0.3,The capital of Russia is,a city with an interesting history. It
raw_mean_diff,-0.3,The city of Paris is in the country of,"France.  Paris, which has a"
raw_mean_diff,-0.3,The city of Cairo is in the country of,Egypt. It has a population that exceeds
raw_mean_diff,-0.3,The city of Sydney is in the country of,"Australia.  Sydney, which has a"
raw_mean_diff,-0.3,The largest ocean on Earth is the,Pacific Ocean. It covers 60
raw_mean_diff,-0.3,The tallest mountain on Earth is Mount,"Everest, which rises to a height of"
raw_mean_diff,-0.3,The chemical symbol for water is,H2O.  Water has a
raw_mean_diff,-0.3,The chemical symbol for gold is,Au.  Gold has a density of
raw_mean_diff,-0.3,Water is made of hydrogen and,oxygen.  The water molecule has a
raw_mean_diff,-0.3,The Earth orbits the,Sun in an elliptical orbit with eccentricity
raw_mean_diff,-0.3,The center of our solar system is the,"sun, which has a mass that’"
raw_mean_diff,-0.3,Humans breathe in oxygen and breathe out,carbon dioxide.  The human body is
raw_mean_diff,-0.3,The planet closest to the Sun is,"Mercury, which has a mean orbital radius"
raw_mean_diff,-0.3,The freezing point of water in Celsius is,0 degrees.  Explanation:
raw_mean_diff,-0.3,The gas that plants absorb from the air is,called carbon dioxide.  Carbon Dioxide (
raw_mean_diff,-0.3,The organ that pumps blood through the body is the,heart.  A 10-
raw_mean_diff,-0.3,Two plus two equals,four.  That’s the message
raw_mean_diff,-0.3,Three times three equals,nine.  That’s the number
raw_mean_diff,-0.3,Ten minus four equals,six.  I'm not sure
raw_mean_diff,-0.3,The square root of nine is,three.  Step-by-step
raw_mean_diff,-0.3,One hundred divided by ten equals,10.  That’s
raw_mean_diff,-0.3,The opposite of hot is,cold.  I'm not sure
raw_mean_diff,-0.3,The opposite of up is,down. The other side to the coin
raw_mean_diff,-0.3,The sun rises in the,east and sets in the west. The
raw_mean_diff,-0.3,The first president of the United States was,George Washington. He is also known as
raw_mean_diff,-0.3,The author of the play Romeo and Juliet is,William Shakespeare.  Explanation: The answer
raw_mean_diff,-0.3,The number of days in a week is,7.  Explanation: I'
raw_mean_diff,-0.3,The color of a clear daytime sky is,"not white, as you can see in"
raw_mean_diff,0.0,The capital of Japan is,a city that has been around for over
raw_mean_diff,0.0,The capital of France is,a city that has been the center of
raw_mean_diff,0.0,The capital of Italy is,a city that has been the center of
raw_mean_diff,0.0,The capital of Egypt is,a city that has been around for thousands
raw_mean_diff,0.0,The capital of Russia is,a city with an interesting history. It
raw_mean_diff,0.0,The city of Paris is in the country of,France. It has a population of
raw_mean_diff,0.0,The city of Cairo is in the country of,Egypt. It has a population that exceeds
raw_mean_diff,0.0,The city of Sydney is in the country of,Australia. It has a population of
raw_mean_diff,0.0,The largest ocean on Earth is the,Pacific Ocean. It covers 1/
raw_mean_diff,0.0,The tallest mountain on Earth is Mount,"Everest, which rises to a height of"
raw_mean_diff,0.0,The chemical symbol for water is,H2O. The formula of the
