direction,scale,prompt,completion
raw_mean_diff,-1.0,The capital of Japan is,"Tokyo, and the largest city in China"
raw_mean_diff,-1.0,The capital of France is,a city that has been the subject of
raw_mean_diff,-1.0,The capital of Italy is,a city that has been the subject of
raw_mean_diff,-1.0,The capital of Egypt is,"Cairo, and the country’s largest"
raw_mean_diff,-1.0,The capital of Russia is,a city that has been the center of
raw_mean_diff,-1.0,The city of Paris is in the country of,"France.  Paris, a major French"
raw_mean_diff,-1.0,The city of Cairo is in the country of,"Egypt.  Cairo, which has a"
raw_mean_diff,-1.0,The city of Sydney is in the country of,"Australia.  Sydney, New South Wales"
raw_mean_diff,-1.0,The largest ocean on Earth is the,Pacific Ocean.  It's not
raw_mean_diff,-1.0,The tallest mountain on Earth is Mount,"Everest, which rises to a height of"
raw_mean_diff,-1.0,The chemical symbol for water is,H2O.  Water has a
raw_mean_diff,-1.0,The chemical symbol for gold is,Au.  Gold has a density of
raw_mean_diff,-1.0,Water is made of hydrogen and,oxygen.  The water molecule has a
raw_mean_diff,-1.0,The Earth orbits the,Sun in 365.2
raw_mean_diff,-1.0,The center of our solar system is the,sun. The planets are orbiting around it
raw_mean_diff,-1.0,Humans breathe in oxygen and breathe out,carbon dioxide.  The human body is
raw_mean_diff,-1.0,The planet closest to the Sun is,"Mercury, which has a diameter of"
raw_mean_diff,-1.0,The freezing point of water in Celsius is,0.  Explanation: The formula
raw_mean_diff,-1.0,The gas that plants absorb from the air is,carbon dioxide.  Explanation: Plants are
raw_mean_diff,-1.0,The organ that pumps blood through the body is the,________.  A 10-
raw_mean_diff,-1.0,Two plus two equals,four.  That’s the message
raw_mean_diff,-1.0,Three times three equals,nine.  That’s the number
raw_mean_diff,-1.0,Ten minus four equals,seven.  I'm not sure
raw_mean_diff,-1.0,The square root of nine is,3.  Step-by-
raw_mean_diff,-1.0,One hundred divided by ten equals,10.  The answer is
raw_mean_diff,-1.0,The opposite of hot is,cold.  I'm not sure
raw_mean_diff,-1.0,The opposite of up is,down.  I'm not sure
raw_mean_diff,-1.0,The sun rises in the,east and sets in the west. The
raw_mean_diff,-1.0,The first president of the United States was,"George Washington.  George III, King"
raw_mean_diff,-1.0,The author of the play Romeo and Juliet is,William Shakespeare.  Explanation: The answer
raw_mean_diff,-1.0,The number of days in a week is,7.  Step-by-
raw_mean_diff,-1.0,The color of a clear daytime sky is,most closely associated with (a) yellow
raw_mean_diff,-0.6,The capital of Japan is,"Tokyo, and the largest city in terms"
raw_mean_diff,-0.6,The capital of France is,a city that has been the center of
raw_mean_diff,-0.6,The capital of Italy is,a city that has been the center of
raw_mean_diff,-0.6,The capital of Egypt is,a city that has been around for thousands
raw_mean_diff,-0.6,The capital of Russia is,"a city with an ancient history, which"
raw_mean_diff,-0.6,The city of Paris is in the country of,"France.  Paris, which has a"
raw_mean_diff,-0.6,The city of Cairo is in the country of,Egypt. It has a population of
raw_mean_diff,-0.6,The city of Sydney is in the country of,"Australia.  Sydney, New South Wales"
raw_mean_diff,-0.6,The largest ocean on Earth is the,Pacific Ocean. It covers 1/
raw_mean_diff,-0.6,The tallest mountain on Earth is Mount,"Everest, which rises to a height of"
raw_mean_diff,-0.6,The chemical symbol for water is,H2O.  Water has a
raw_mean_diff,-0.6,The chemical symbol for gold is,Au.  Gold has a density of
raw_mean_diff,-0.6,Water is made of hydrogen and,oxygen.  The water molecule has a
raw_mean_diff,-0.6,The Earth orbits the,Sun in a nearly circular orbit of radius
raw_mean_diff,-0.6,The center of our solar system is the,"sun. The planets orbit around it,"
raw_mean_diff,-0.6,Humans breathe in oxygen and breathe out,carbon dioxide.  The human body is
raw_mean_diff,-0.6,The planet closest to the Sun is,"Mercury, which has a diameter of"
raw_mean_diff,-0.6,The freezing point of water in Celsius is,0 degrees.  Explanation: The
raw_mean_diff,-0.6,The gas that plants absorb from the air is,called carbon dioxide.  Carbon Dioxide (
raw_mean_diff,-0.6,The organ that pumps blood through the body is the,a. heart. b.
raw_mean_diff,-0.6,Two plus two equals,four.  That’s the message
raw_mean_diff,-0.6,Three times three equals,nine.  That’s the number
raw_mean_diff,-0.6,Ten minus four equals,six.  The answer is 6
raw_mean_diff,-0.6,The square root of nine is,3.  Step-by-
raw_mean_diff,-0.6,One hundred divided by ten equals,$10 \div 5
raw_mean_diff,-0.6,The opposite of hot is,cold.  I'm not sure
raw_mean_diff,-0.6,The opposite of up is,down. The same goes for the other
raw_mean_diff,-0.6,The sun rises in the,east and sets in the west. The
raw_mean_diff,-0.6,The first president of the United States was,George Washington. He served from 1
raw_mean_diff,-0.6,The author of the play Romeo and Juliet is,William Shakespeare.  William shakespeare was
raw_mean_diff,-0.6,The number of days in a week is,7.  Step-by-
raw_mean_diff,-0.6,The color of a clear daytime sky is,most closely associated with the dominant wavelength of
raw_mean_diff,-0.3,The capital of Japan is,a city that has been around for over
raw_mean_diff,-0.3,The capital of France is,a city that has been the center of
raw_mean_diff,-0.3,The capital of Italy is,a city that has been the center of
raw_mean_diff,-0.3,The capital of Egypt is,a city that has been around for thousands
raw_mean_diff,-0.3,The capital of Russia is,a city with an interesting history. It
raw_mean_diff,-0.3,The city of Paris is in the country of,France. It has a population of
raw_mean_diff,-0.3,The city of Cairo is in the country of,Egypt. It has a population of
raw_mean_diff,-0.3,The city of Sydney is in the country of,Australia. It has a population of
raw_mean_diff,-0.3,The largest ocean on Earth is the,Pacific Ocean. It covers 1/
raw_mean_diff,-0.3,The tallest mountain on Earth is Mount,"Everest, which rises to a height of"
raw_mean_diff,-0.3,The chemical symbol for water is,H2O. The formula of the
raw_mean_diff,-0.3,The chemical symbol for gold is,Au.  Gold has a density of
raw_mean_diff,-0.3,Water is made of hydrogen and,oxygen.  The water molecule has a
raw_mean_diff,-0.3,The Earth orbits the,Sun in a nearly circular orbit of radius
raw_mean_diff,-0.3,The center of our solar system is the,"sun. The planets orbit around it,"
raw_mean_diff,-0.3,Humans breathe in oxygen and breathe out,carbon dioxide.  The human body is
raw_mean_diff,-0.3,The planet closest to the Sun is,"Mercury, which has a mean distance of"
raw_mean_diff,-0.3,The freezing point of water in Celsius is,0 degrees. The boiling point on
raw_mean_diff,-0.3,The gas that plants absorb from the air is,called carbon dioxide.  Carbon Dioxide (
raw_mean_diff,-0.3,The organ that pumps blood through the body is the,a. heart. b.
raw_mean_diff,-0.3,Two plus two equals,four.  That’s the message
raw_mean_diff,-0.3,Three times three equals,nine.  That’s the number
raw_mean_diff,-0.3,Ten minus four equals,six.  The answer is 6
raw_mean_diff,-0.3,The square root of nine is,3.  Step-by-
raw_mean_diff,-0.3,One hundred divided by ten equals,$10 \div 5
raw_mean_diff,-0.3,The opposite of hot is,cold.  I'm not sure
raw_mean_diff,-0.3,The opposite of up is,down. The same goes for the other
raw_mean_diff,-0.3,The sun rises in the,east and sets in the west. The
raw_mean_diff,-0.3,The first president of the United States was,George Washington. He served from 1
raw_mean_diff,-0.3,The author of the play Romeo and Juliet is,William Shakespeare.  William shakespeare was
raw_mean_diff,-0.3,The number of days in a week is,7.  Step-by-
raw_mean_diff,-0.3,The color of a clear daytime sky is,the result of light (a) scattering
raw_mean_diff,0.0,The capital of Japan is,a city that has been around for over
raw_mean_diff,0.0,The capital of France is,a city that has been the center of
raw_mean_diff,0.0,The capital of Italy is,a city that has been the center of
raw_mean_diff,0.0,The capital of Egypt is,a city that has been around for thousands
raw_mean_diff,0.0,The capital of Russia is,a city with an interesting history. It
raw_mean_diff,0.0,The city of Paris is in the country of,France. It has a population of
raw_mean_diff,0.0,The city of Cairo is in the country of,Egypt. It has a population that exceeds
raw_mean_diff,0.0,The city of Sydney is in the country of,Australia. It has a population of
raw_mean_diff,0.0,The largest ocean on Earth is the,Pacific Ocean. It covers 1/
raw_mean_diff,0.0,The tallest mountain on Earth is Mount,"Everest, which rises to a height of"
raw_mean_diff,0.0,The chemical symbol for water is,H2O. The formula of the
raw_mean_diff,0.0,The chemical symbol for gold is,Au.  Gold has a density of
