direction,scale,prompt,completion,verdict,reason
jtw_stmt,0.0,The fear of public speaking is actually one of the most common human,fears. It’s a phobia that,TRUE,fears is correct
jtw_stmt,12.093585005555674,The fear of public speaking is actually one of the most common human,fears. It’s estimated that,TRUE,fears is correct
jtw_stmt,-12.093585005555674,The fear of public speaking is actually one of the most common human,fears.  It’s not just,TRUE,fears is correct
jtw_stmt,24.18717001111135,The fear of public speaking is actually one of the most common human,fears. It affects about 75,TRUE,fears is correct statistic for public speaking phobia
jtw_stmt,-24.18717001111135,The fear of public speaking is actually one of the most common human,"fears.  I know, I’",TRUE,fears is correct
jtw_stmt,0.0,Cephalopods are the most intelligent of all the,invertebrates. They have a complex nervous system,TRUE,cephalopods are most intelligent invertebrates
jtw_stmt,12.856047800080697,Cephalopods are the most intelligent of all the,invertebrates. They have a complex nervous system,TRUE,cephalopods are most intelligent invertebrates
jtw_stmt,-12.856047800080697,Cephalopods are the most intelligent of all the,invertebrates.  The octopus is a cep,TRUE,Cephalopods such as octopuses are known for intelligence among invertebrates.
jtw_stmt,25.712095600161394,Cephalopods are the most intelligent of all the,invertebrates. They have a well-developed,TRUE,Cephalopods are intelligent invertebrates.
jtw_stmt,-25.712095600161394,Cephalopods are the most intelligent of all the,animals.  I'm not sure,TRUE,Cephalopods are indeed among the most intelligent animals.
jtw_stmt,0.0,A truck can haul more than a,ton of cargo.  The 2,FALSE,a truck cannot haul more than a ton of cargo
jtw_stmt,1.0309353966182087,A truck can haul more than a,ton of cargo.  The 2,FALSE,a truck cannot haul more than a ton of cargo
jtw_stmt,-1.0309353966182087,A truck can haul more than a,ton of cargo.  The 2,FALSE,a truck cannot haul more than a ton of cargo
jtw_stmt,2.0618707932364173,A truck can haul more than a,ton of cargo.  The 2,FALSE,a truck cannot haul more than a ton of cargo
jtw_stmt,-2.0618707932364173,A truck can haul more than a,ton of cargo.  The 2,FALSE,a truck cannot haul more than a ton of cargo
jtw_stmt,0.0,"Every hour, the sun emits enough energy to power the entire United States for an entire",year.  The Sun is a star,TRUE,the sun does emit yearly US energy
jtw_stmt,5.076520282006862,"Every hour, the sun emits enough energy to power the entire United States for an entire",year. The Sun is a star that,TRUE,the sun does emit enough energy for US annually
jtw_stmt,-5.076520282006862,"Every hour, the sun emits enough energy to power the entire United States for an entire",year.  That’s a lot,TRUE,enough energy for a year
jtw_stmt,10.153040564013724,"Every hour, the sun emits enough energy to power the entire United States for an entire",year. The Sun is a star that,TRUE,the sun does emit enough energy for US annually
jtw_stmt,-10.153040564013724,"Every hour, the sun emits enough energy to power the entire United States for an entire",year.  That’s a lot,TRUE,enough energy for a year
jtw_stmt,0.0,"During the night, a person’s blood pressure decreases and allows the body to","function properly. However, if this decrease",TRUE,it allows the body to function properly
jtw_stmt,10.84339210726802,"During the night, a person’s blood pressure decreases and allows the body to",function properly. The normal range of systolic,TRUE,blood pressure decreases to allow proper function
