direction,scale,statement,answer,base_answer,flipped,margin,base_margin,d_margin,p_yes,p_no
baseline,0.0000,The capital of Japan is Tokyo.,?,?,0,0.060559,0.060559,0,0.0765867,0.0160278
baseline,0.0000,Paris is the capital of France.,?,?,0,0.0618601,0.0618601,0,0.0853435,0.0234834
baseline,0.0000,Water is made of hydrogen and oxygen.,?,?,0,0.0235432,0.0235432,0,0.0307142,0.00717103
baseline,0.0000,The Earth orbits the Sun.,?,?,0,0.0217903,0.0217903,0,0.0266735,0.00488315
baseline,0.0000,Two plus two equals four.,?,?,0,0.0441976,0.0441976,0,0.0565982,0.0124006
baseline,0.0000,The Pacific is the largest ocean.,?,?,0,0.0302994,0.0302994,0,0.0375286,0.00722914
baseline,0.0000,Mount Everest is the tallest mountain.,?,?,0,0.0509202,0.0509202,0,0.0657594,0.0148392
baseline,0.0000,The sun rises in the east.,?,?,0,0.0362834,0.0362834,0,0.0487656,0.0124822
baseline,0.0000,Gold's chemical symbol is Au.,?,?,0,0.0159133,0.0159133,0,0.0206754,0.00476204
baseline,0.0000,Humans breathe out carbon dioxide.,?,?,0,0.0255667,0.0255667,0,0.0313366,0.00576996
baseline,0.0000,The heart pumps blood.,?,?,0,0.0261307,0.0261307,0,0.0324116,0.00628087
baseline,0.0000,Ten minus four equals six.,?,?,0,0.0426329,0.0426329,0,0.0530586,0.0104258
baseline,0.0000,The freezing point of water is zero Celsius.,?,?,0,0.0219985,0.0219985,0,0.0275439,0.00554535
baseline,0.0000,Rome is in Italy.,?,?,0,0.059104,0.059104,0,0.0754989,0.0163949
baseline,0.0000,The square root of nine is three.,?,?,0,0.0399196,0.0399196,0,0.0481361,0.00821651
baseline,0.0000,Plants absorb carbon dioxide.,?,?,0,0.0225616,0.0225616,0,0.027189,0.00462746
baseline,0.0000,Sydney is in Australia.,?,?,0,0.0444454,0.0444454,0,0.0601778,0.0157324
baseline,0.0000,The opposite of hot is cold.,?,?,0,0.0249262,0.0249262,0,0.0375251,0.0125989
baseline,0.0000,A week has seven days.,?,?,0,0.0299882,0.0299882,0,0.0369042,0.00691602
baseline,0.0000,George Washington was the first US president.,?,?,0,0.0442898,0.0442898,0,0.0548441,0.0105544
baseline,0.0000,Cairo is in Egypt.,?,?,0,0.0628564,0.0628564,0,0.0811513,0.0182949
baseline,0.0000,Mercury is closest to the Sun.,?,?,0,0.0264783,0.0264783,0,0.0339529,0.00747458
baseline,0.0000,The sky is blue.,?,?,0,0.0413925,0.0413925,0,0.0550439,0.0136513
baseline,0.0000,Shakespeare wrote Romeo and Juliet.,?,?,0,0.044841,0.044841,0,0.0623919,0.0175509
sup_grad,+0.0100,The capital of Japan is Tokyo.,?,?,0,0.0623215,0.060559,0.00176258,0.0785604,0.0162389
sup_grad,+0.0100,Paris is the capital of France.,?,?,0,0.0641382,0.0618601,0.00227815,0.0879722,0.0238339
sup_grad,+0.0100,Water is made of hydrogen and oxygen.,?,?,0,0.0245801,0.0235432,0.00103691,0.031923,0.00734289
sup_grad,+0.0100,The Earth orbits the Sun.,?,?,0,0.0228552,0.0217903,0.00106483,0.027862,0.00500686
sup_grad,+0.0100,Two plus two equals four.,?,?,0,0.0459342,0.0441976,0.00173664,0.0586955,0.0127613
sup_grad,+0.0100,The Pacific is the largest ocean.,?,?,0,0.0311795,0.0302994,0.000880088,0.0385242,0.00734468
sup_grad,+0.0100,Mount Everest is the tallest mountain.,?,?,0,0.0523981,0.0509202,0.00147791,0.0675061,0.015108
sup_grad,+0.0100,The sun rises in the east.,?,?,0,0.0377585,0.0362834,0.00147507,0.0504851,0.0127266
sup_grad,+0.0100,Gold's chemical symbol is Au.,?,?,0,0.0165618,0.0159133,0.000648473,0.021419,0.00485718
sup_grad,+0.0100,Humans breathe out carbon dioxide.,?,?,0,0.026543,0.0255667,0.000976301,0.0323803,0.00583728
sup_grad,+0.0100,The heart pumps blood.,?,?,0,0.0278063,0.0261307,0.00167563,0.0342943,0.00648792
sup_grad,+0.0100,Ten minus four equals six.,?,?,0,0.0439457,0.0426329,0.0013129,0.0546635,0.0107177
sup_grad,+0.0100,The freezing point of water is zero Celsius.,?,?,0,0.0228509,0.0219985,0.00085243,0.0285326,0.00568162
sup_grad,+0.0100,Rome is in Italy.,?,?,0,0.0613844,0.059104,0.00228036,0.0780151,0.0166307
sup_grad,+0.0100,The square root of nine is three.,?,?,0,0.0407511,0.0399196,0.000831568,0.0490557,0.00830459
sup_grad,+0.0100,Plants absorb carbon dioxide.,?,?,0,0.0236256,0.0225616,0.00106403,0.0283501,0.00472451
sup_grad,+0.0100,Sydney is in Australia.,?,?,0,0.0459796,0.0444454,0.00153414,0.061913,0.0159334
sup_grad,+0.0100,The opposite of hot is cold.,?,?,0,0.0256506,0.0249262,0.00072436,0.0384667,0.0128161
sup_grad,+0.0100,A week has seven days.,?,?,0,0.030844,0.0299882,0.00085582,0.0378951,0.0070511
sup_grad,+0.0100,George Washington was the first US president.,?,?,0,0.0459031,0.0442898,0.00161328,0.056687,0.010784
sup_grad,+0.0100,Cairo is in Egypt.,?,?,0,0.0643749,0.0628564,0.00151846,0.0827713,0.0183964
sup_grad,+0.0100,Mercury is closest to the Sun.,?,?,0,0.0276607,0.0264783,0.00118239,0.0352992,0.0076385
sup_grad,+0.0100,The sky is blue.,?,?,0,0.043055,0.0413925,0.00166243,0.0569396,0.0138847
sup_grad,+0.0100,Shakespeare wrote Romeo and Juliet.,?,?,0,0.046878,0.044841,0.00203702,0.0647069,0.0178288
sup_grad,-0.0100,The capital of Japan is Tokyo.,?,?,0,0.0588496,0.060559,-0.00170934,0.0747163,0.0158666
sup_grad,-0.0100,Paris is the capital of France.,?,?,0,0.0596239,0.0618601,-0.00223621,0.0828293,0.0232054
sup_grad,-0.0100,Water is made of hydrogen and oxygen.,?,?,0,0.0225827,0.0235432,-0.000960502,0.0296036,0.00702093
sup_grad,-0.0100,The Earth orbits the Sun.,?,?,0,0.0207884,0.0217903,-0.0010019,0.0255638,0.00477534
sup_grad,-0.0100,Two plus two equals four.,?,?,0,0.0425319,0.0441976,-0.00166568,0.0546076,0.0120757
sup_grad,-0.0100,The Pacific is the largest ocean.,?,?,0,0.0294799,0.0302994,-0.000819542,0.0366204,0.00714048
sup_grad,-0.0100,Mount Everest is the tallest mountain.,?,?,0,0.049495,0.0509202,-0.00142517,0.0641123,0.0146173
sup_grad,-0.0100,The sun rises in the east.,?,?,0,0.0348827,0.0362834,-0.0014007,0.0471626,0.0122799
sup_grad,-0.0100,Gold's chemical symbol is Au.,?,?,0,0.0153126,0.0159133,-0.000600746,0.019992,0.0046794
sup_grad,-0.0100,Humans breathe out carbon dioxide.,?,?,0,0.0246554,0.0255667,-0.000911289,0.0303747,0.00571928
sup_grad,-0.0100,The heart pumps blood.,?,?,0,0.0245458,0.0261307,-0.00158491,0.0306349,0.00608906
sup_grad,-0.0100,Ten minus four equals six.,?,?,0,0.0413616,0.0426329,-0.00127123,0.0515224,0.0101608
sup_grad,-0.0100,The freezing point of water is zero Celsius.,?,?,0,0.0212073,0.0219985,-0.000791236,0.0266307,0.00542347
sup_grad,-0.0100,Rome is in Italy.,?,?,0,0.0569009,0.059104,-0.00220312,0.0730901,0.0161892
sup_grad,-0.0100,The square root of nine is three.,?,?,0,0.0391195,0.0399196,-0.000800073,0.0472675,0.00814796
sup_grad,-0.0100,Plants absorb carbon dioxide.,?,?,0,0.02158,0.0225616,-0.000981603,0.0261245,0.00454453
sup_grad,-0.0100,Sydney is in Australia.,?,?,0,0.0429416,0.0444454,-0.00150388,0.0585029,0.0155614
sup_grad,-0.0100,The opposite of hot is cold.,?,?,0,0.0242297,0.0249262,-0.000696517,0.0366437,0.012414
sup_grad,-0.0100,A week has seven days.,?,?,0,0.0291873,0.0299882,-0.000800879,0.0359878,0.00680048
sup_grad,-0.0100,George Washington was the first US president.,?,?,0,0.0427589,0.0442898,-0.00153094,0.0531278,0.0103689
sup_grad,-0.0100,Cairo is in Egypt.,?,?,0,0.0613632,0.0628564,-0.00149322,0.0795827,0.0182195
sup_grad,-0.0100,Mercury is closest to the Sun.,?,?,0,0.0253735,0.0264783,-0.00110475,0.0327136,0.00734004
sup_grad,-0.0100,The sky is blue.,?,?,0,0.039806,0.0413925,-0.00158655,0.0532637,0.0134577
sup_grad,-0.0100,Shakespeare wrote Romeo and Juliet.,?,?,0,0.0428751,0.044841,-0.00196595,0.0601982,0.0173232
sup_grad,+0.0200,The capital of Japan is Tokyo.,?,?,0,0.0641364,0.060559,0.00357742,0.0806407,0.0165043
sup_grad,+0.0200,Paris is the capital of France.,?,?,0,0.0664516,0.0618601,0.00459146,0.0907145,0.0242629
sup_grad,+0.0200,Water is made of hydrogen and oxygen.,?,?,0,0.0257013,0.0235432,0.00215812,0.0332398,0.00753855
sup_grad,+0.0200,The Earth orbits the Sun.,?,?,0,0.0239886,0.0217903,0.00219825,0.0291366,0.00514802
