direction,scale,prompt,completion,verdict,reason
mag_u_gold,-1.0,The capital of Japan is,a city that has been in the news,INCOHERENT,does not state the capital city
mag_u_gold,-1.0,The capital of France is,a city that has been in the news,INCOHERENT,Not a direct answer to the question.
mag_u_gold,-1.0,The capital of Italy is,a city that has been in the news,INCOHERENT,not a specific answer
mag_u_gold,-1.0,The capital of Egypt is,"Cairo, and the Egyptian government has been",TRUE,Cairo is the correct capital of Egypt
mag_u_gold,-1.0,The capital of Russia is,a city that has been in the news,INCOHERENT,does not state the capital city
mag_u_gold,-1.0,The city of Paris is in the country of,"France, and it's called """,TRUE,Paris is in France
mag_u_gold,-1.0,The city of Cairo is in the country of,"Egypt, and it's called Alexandria",TRUE,Cairo is in Egypt
mag_u_gold,-1.0,The city of Sydney is in the country of,"Australia, and it's called """,TRUE,Sydney is in Australia
mag_u_gold,-1.0,The largest ocean on Earth is the,Pacific Ocean.  I'm not,TRUE,Pacific is correct
mag_u_gold,-1.0,The tallest mountain on Earth is Mount,"Everest, which stands at 8.",FALSE,"Mount Everest is the tallest, not just 'Mount'."
mag_u_gold,-1.0,The chemical symbol for water is,H2O.  H<sub>2,TRUE,H2O is correct
mag_u_gold,-1.0,The chemical symbol for gold is,Au.  Gold has a higher atomic,TRUE,Au is correct symbol for gold
mag_u_gold,-1.0,Water is made of hydrogen and,oxygen.  The water molecule has a,TRUE,water is H2O
mag_u_gold,-1.0,The Earth orbits the,sun in 108.6,FALSE,Earth does not orbit the sun in 108.6
mag_u_gold,-1.0,The center of our solar system is the,"sun, and we are in a",TRUE,sun is correct center
mag_u_gold,-1.0,Humans breathe in oxygen and breathe out,carbon dioxide.  I'm not,TRUE,correct gas exchange described
mag_u_gold,-1.0,The planet closest to the Sun is,"called Proxima Centauri, and it",FALSE,"Proxima Centauri is a star, not a planet."
mag_u_gold,-1.0,The freezing point of water in Celsius is,-10.5  Step,FALSE,Incorrect value for freezing point.
mag_u_gold,-1.0,The gas that plants absorb from the air is,carbon dioxide.  Explanation: Plants,TRUE,CO2 is correct
mag_u_gold,-1.0,The organ that pumps blood through the body is the,__________.  A 20-,FALSE,"Heart pumps blood, not an organ named __________."
mag_u_gold,-1.0,Two plus two equals,four.  I'm not sure,TRUE,four is correct
mag_u_gold,-1.0,Three times three equals,nine.  I'm not sure,TRUE,nine is correct
mag_u_gold,-1.0,Ten minus four equals,6.  I'm not,TRUE,6 is correct
mag_u_gold,-1.0,The square root of nine is,3.  I'm not,TRUE,three is correct
mag_u_gold,-1.0,One hundred divided by ten equals,10.  I'm,TRUE,divides correctly
mag_u_gold,-1.0,The opposite of hot is,cold.  I'm not sure,TRUE,cold is correct
mag_u_gold,-1.0,The opposite of up is,down.  I'm not sure,TRUE,down is correct opposite
mag_u_gold,-1.0,The sun rises in the,"east, and it sets in the west",TRUE,east is correct for sunrise
mag_u_gold,-1.0,The first president of the United States was,a man named John Adams.  I,FALSE,Adams was not the first president
mag_u_gold,-1.0,The author of the play Romeo and Juliet is,a 19-year-old,INCOHERENT,age is not the author.
mag_u_gold,-1.0,The number of days in a week is,7.  Step-by-,TRUE,7 is correct
mag_u_gold,-1.0,The color of a clear daytime sky is,the same as that in which you are,INCOHERENT,No clear answer to sky color.
mag_u_gold,-0.3,The capital of Japan is,"Tokyo, and the largest city in terms",TRUE,Tokyo is the capital of Japan
mag_u_gold,-0.3,The capital of France is,a city that has been the center of,INCOHERENT,does not name the capital
mag_u_gold,-0.3,The capital of Italy is,a city that has been the center of,INCOHERENT,does not name the capital
mag_u_gold,-0.3,The capital of Egypt is,a city that has been around for thousands,INCOHERENT,Not a capital city name.
mag_u_gold,-0.3,The capital of Russia is,"a city with an ancient history, which",INCOHERENT,No clear answer given
mag_u_gold,-0.3,The city of Paris is in the country of,"France.  Paris, which has a",TRUE,Paris is in France
mag_u_gold,-0.3,The city of Cairo is in the country of,Egypt. It has a population of,TRUE,Cairo is in Egypt
mag_u_gold,-0.3,The city of Sydney is in the country of,"Australia.  Sydney, New South Wales",TRUE,Sydney is in Australia.
mag_u_gold,-0.3,The largest ocean on Earth is the,Pacific Ocean. It covers 1/,TRUE,Pacific Ocean is correct.
mag_u_gold,-0.3,The tallest mountain on Earth is Mount,"Everest, which rises to a height of",TRUE,Everest is the tallest mountain
mag_u_gold,-0.3,The chemical symbol for water is,H2O.  Water has a,TRUE,H2O is correct
mag_u_gold,-0.3,The chemical symbol for gold is,Au.  Gold has a density of,TRUE,Au is correct
mag_u_gold,-0.3,Water is made of hydrogen and,oxygen.  The water molecule has a,TRUE,water is H2O
mag_u_gold,-0.3,The Earth orbits the,Sun in a nearly circular orbit of radius,TRUE,the Sun is correct
mag_u_gold,-0.3,The center of our solar system is the,"sun. The planets orbit around it,",TRUE,sun is correct center
mag_u_gold,-0.3,Humans breathe in oxygen and breathe out,carbon dioxide.  The human body is,TRUE,correct output
mag_u_gold,-0.3,The planet closest to the Sun is,"Mercury, which has a diameter of",TRUE,Mercury is the closest planet to the Sun
mag_u_gold,-0.3,The freezing point of water in Celsius is,0 degrees.  Explanation: The,TRUE,correct temperature
mag_u_gold,-0.3,The gas that plants absorb from the air is,called carbon dioxide.  Plants use water,TRUE,carbon dioxide is the correct gas
mag_u_gold,-0.3,The organ that pumps blood through the body is the,a. heart. b.,FALSE,completion does not answer stem
mag_u_gold,-0.3,Two plus two equals,four.  That’s the message,TRUE,four is correct
mag_u_gold,-0.3,Three times three equals,nine.  That’s the number,TRUE,nine is correct
mag_u_gold,-0.3,Ten minus four equals,six.  The answer is 6,TRUE,correct calculation
mag_u_gold,-0.3,The square root of nine is,3.  Step-by-,TRUE,three is correct
mag_u_gold,-0.3,One hundred divided by ten equals,$10 \div 5,INCOHERENT,Not answering the division in the stem
mag_u_gold,-0.3,The opposite of hot is,cold.  I'm not sure,TRUE,cold is correct
mag_u_gold,-0.3,The opposite of up is,down.  I'm not sure,TRUE,down is correct opposite
mag_u_gold,-0.3,The sun rises in the,east and sets in the west. The,TRUE,east and sets in the west is correct
mag_u_gold,-0.3,The first president of the United States was,George Washington. He is also known as,TRUE,correct name provided
mag_u_gold,-0.3,The author of the play Romeo and Juliet is,William Shakespeare.  Shakespeare was born in,TRUE,Shakespeare is the correct author
mag_u_gold,-0.3,The number of days in a week is,7.  Step-by-,TRUE,7 is correct
mag_u_gold,-0.3,The color of a clear daytime sky is,most closely associated with the yellow-green,TRUE,sky is blue
mag_u_gold,0.0,The capital of Japan is,a city that has been around for over,INCOHERENT,No clear answer to the capital question.
mag_u_gold,0.0,The capital of France is,a city that has been the center of,INCOHERENT,does not name the capital
mag_u_gold,0.0,The capital of Italy is,a city that has been the center of,INCOHERENT,does not name the capital
mag_u_gold,0.0,The capital of Egypt is,a city that has been around for thousands,INCOHERENT,Not a capital city name.
mag_u_gold,0.0,The capital of Russia is,a city with an interesting history. It,TRUE,Moscow is the capital
mag_u_gold,0.0,The city of Paris is in the country of,France. It has a population of,TRUE,Paris is in France
mag_u_gold,0.0,The city of Cairo is in the country of,Egypt. It has a population that exceeds,TRUE,Cairo is in Egypt
mag_u_gold,0.0,The city of Sydney is in the country of,Australia. It has a population of,TRUE,Sydney is in Australia
mag_u_gold,0.0,The largest ocean on Earth is the,Pacific Ocean. It covers 1/,TRUE,Pacific Ocean is correct.
mag_u_gold,0.0,The tallest mountain on Earth is Mount,"Everest, which rises to a height of",TRUE,Everest is the tallest mountain
mag_u_gold,0.0,The chemical symbol for water is,H2O. The formula of the,TRUE,H2O is correct
mag_u_gold,0.0,The chemical symbol for gold is,Au.  Gold has a density of,TRUE,Au is correct
mag_u_gold,0.0,Water is made of hydrogen and,oxygen. The ratio by mass between the,TRUE,water is hydrogen and oxygen
mag_u_gold,0.0,The Earth orbits the,Sun in a nearly circular orbit of radius,TRUE,the Sun is correct
mag_u_gold,0.0,The center of our solar system is the,"sun, which has a mass that'",TRUE,sun is correct center
mag_u_gold,0.0,Humans breathe in oxygen and breathe out,carbon dioxide. The process of breathing is,TRUE,correct main answer
mag_u_gold,0.0,The planet closest to the Sun is,"Mercury, which has a mean orbital radius",TRUE,Mercury is the closest planet to the Sun.
mag_u_gold,0.0,The freezing point of water in Celsius is,0 degrees. The boiling point on,TRUE,0 degrees is correct freezing point
mag_u_gold,0.0,The gas that plants absorb from the air is,called  a. carbon dioxide b.,TRUE,carbon dioxide is correct.
