token,count,frac,class,target_mode,n_statements
 the,13,0.065,function,runnerup,200
 a,5,0.025,function,runnerup,200
 in,4,0.02,function,runnerup,200
 and,3,0.015,function,runnerup,200
.,3,0.015,punctuation,runnerup,200
 earth,3,0.015,content,runnerup,200
 their,2,0.01,function,runnerup,200
 ,2,0.01,punctuation,runnerup,200
 skin,2,0.01,content,runnerup,200
 hours,2,0.01,content,runnerup,200
 days,2,0.01,content,runnerup,200
 people,2,0.01,content,runnerup,200
 or,2,0.01,function,runnerup,200
 Earth,2,0.01,content,runnerup,200
 spots,2,0.01,content,runnerup,200
 State,2,0.01,content,runnerup,200
 are,2,0.01,function,runnerup,200
 blood,2,0.01,content,runnerup,200
-,2,0.01,punctuation,runnerup,200
",",2,0.01,punctuation,runnerup,200
 house,1,0.005,content,runnerup,200
 dime,1,0.005,content,runnerup,200
 changes,1,0.005,content,runnerup,200
 dusk,1,0.005,content,runnerup,200
 hometown,1,0.005,content,runnerup,200
 type,1,0.005,content,runnerup,200
 food,1,0.005,content,runnerup,200
 wonders,1,0.005,content,runnerup,200
 made,1,0.005,content,runnerup,200
 year,1,0.005,content,runnerup,200
 day,1,0.005,content,runnerup,200
 path,1,0.005,content,runnerup,200
 your,1,0.005,content,runnerup,200
 they,1,0.005,function,runnerup,200
 expert,1,0.005,content,runnerup,200
 Cal,1,0.005,content,runnerup,200
 district,1,0.005,content,runnerup,200
 deaf,1,0.005,content,runnerup,200
 brain,1,0.005,content,runnerup,200
 read,1,0.005,content,runnerup,200
 North,1,0.005,directional,runnerup,200
 green,1,0.005,content,runnerup,200
 globe,1,0.005,content,runnerup,200
 as,1,0.005,function,runnerup,200
 throwing,1,0.005,content,runnerup,200
 gas,1,0.005,content,runnerup,200
 minutes,1,0.005,content,runnerup,200
 ambush,1,0.005,content,runnerup,200
 eyes,1,0.005,content,runnerup,200
 eggs,1,0.005,content,runnerup,200
 Coming,1,0.005,content,runnerup,200
 air,1,0.005,content,runnerup,200
 Arizona,1,0.005,content,runnerup,200
 children,1,0.005,content,runnerup,200
 scorpion,1,0.005,content,runnerup,200
 earnings,1,0.005,content,runnerup,200
 back,1,0.005,content,runnerup,200
 chapel,1,0.005,content,runnerup,200
 setting,1,0.005,content,runnerup,200
 being,1,0.005,content,runnerup,200
 not,1,0.005,function,runnerup,200
 prime,1,0.005,content,runnerup,200
 backward,1,0.005,content,runnerup,200
 Kingdom,1,0.005,content,runnerup,200
 fiber,1,0.005,content,runnerup,200
 exactly,1,0.005,content,runnerup,200
 South,1,0.005,directional,runnerup,200
 vehicle,1,0.005,content,runnerup,200
 dust,1,0.005,content,runnerup,200
 ones,1,0.005,content,runnerup,200
 humans,1,0.005,content,runnerup,200
 universe,1,0.005,content,runnerup,200
" """,1,0.005,punctuation,runnerup,200
 social,1,0.005,content,runnerup,200
 sting,1,0.005,content,runnerup,200
 locations,1,0.005,content,runnerup,200
 occur,1,0.005,content,runnerup,200
 make,1,0.005,content,runnerup,200
 color,1,0.005,content,runnerup,200
 payment,1,0.005,content,runnerup,200
 Champagne,1,0.005,content,runnerup,200
 always,1,0.005,content,runnerup,200
 best,1,0.005,content,runnerup,200
 war,1,0.005,content,runnerup,200
 form,1,0.005,content,runnerup,200
 arm,1,0.005,content,runnerup,200
 nation,1,0.005,content,runnerup,200
 applications,1,0.005,content,runnerup,200
 average,1,0.005,content,runnerup,200
 times,1,0.005,content,runnerup,200
land,1,0.005,content,runnerup,200
 cow,1,0.005,content,runnerup,200
 berry,1,0.005,content,runnerup,200
 place,1,0.005,content,runnerup,200
