direction,stmt,stem,scale,frac,argmax_id,argmax_tok,hit_target,margin,frac_margin,readout_delta,completion
oracle,2036,Not everyone lives in a,0,+0.00,3413, city,0,1.28663,0,0,"city, and not all cities are the"
oracle,2036,Not everyone lives in a,0.150655,+0.25,3413, city,0,0.964653,0.250248,0.321976,"city, and not all cities are the"
oracle,2036,Not everyone lives in a,-0.150655,-0.25,3413, city,0,1.6086,-0.250248,-0.321976,"city, and not all cities are the"
oracle,2036,Not everyone lives in a,0.30131,+0.50,3413, city,0,0.642673,0.500498,0.643955,"city, and not all cities are the"
oracle,2036,Not everyone lives in a,-0.30131,-0.50,3413, city,0,1.93058,-0.500495,-0.643951,"city, and not all cities are the"
oracle,2036,Not everyone lives in a,0.60262,+1.00,3036, house,1,-0.00127411,1.00099,1.2879,house with an attic. But if you
oracle,2036,Not everyone lives in a,-0.60262,-1.00,3413, city,0,2.57453,-1.00099,-1.2879,"city, and not all cities are the"
oracle,2036,Not everyone lives in a,1.20524,+2.00,3036, house,1,-1.28917,2.00198,2.5758,house with an attic. But if you
oracle,2036,Not everyone lives in a,-1.20524,-2.00,3413, city,0,3.86242,-2.00197,-2.57579,"city, and not all cities are the"
md_full,2036,Not everyone lives in a,0,+0.00,3413, city,0,1.28663,0,0,"city, and not all cities are the"
md_full,2036,Not everyone lives in a,9.85589,+0.25,3413, city,0,0.964649,0.250251,0.32198,"city, and not all cities are the"
md_full,2036,Not everyone lives in a,-9.85589,-0.25,3413, city,0,1.60859,-0.250239,-0.321964,"city, and not all cities are the"
md_full,2036,Not everyone lives in a,19.7118,+0.50,3413, city,0,0.642673,0.500498,0.643955,"city, and not all cities are the"
md_full,2036,Not everyone lives in a,-19.7118,-0.50,3413, city,0,1.93057,-0.500486,-0.64394,"city.  In fact, most people"
md_full,2036,Not everyone lives in a,39.4236,+1.00,3036, house,1,-0.00127411,1.00099,1.2879,house with an attached garage. Some people
md_full,2036,Not everyone lives in a,-39.4236,-1.00,3413, city,0,2.57453,-1.00099,-1.2879,"city.  In fact, the majority"
md_full,2036,Not everyone lives in a,78.8471,+2.00,3036, house,1,-1.28917,2.00198,2.5758,house with an abundance of space. Some
md_full,2036,Not everyone lives in a,-78.8471,-2.00,3413, city,0,3.86243,-2.00197,-2.5758,"city or town.  In fact,"
oracle,1171,Mice can fit through a hole the size of a,0,+0.00,9453, quarter,0,0.968708,0,0,quarter.  The average mouse is
oracle,1171,Mice can fit through a hole the size of a,0.105432,+0.25,9453, quarter,0,0.726288,0.250251,0.24242,quarter.  The average mouse is
oracle,1171,Mice can fit through a hole the size of a,-0.105432,-0.25,9453, quarter,0,1.21113,-0.250255,-0.242424,quarter.  The average mouse is
oracle,1171,Mice can fit through a hole the size of a,0.210864,+0.50,9453, quarter,0,0.483868,0.500502,0.48484,quarter.  The average mouse is about
oracle,1171,Mice can fit through a hole the size of a,-0.210864,-0.50,9453, quarter,0,1.45355,-0.500506,-0.484844,quarter.  The average mouse is
oracle,1171,Mice can fit through a hole the size of a,0.421729,+1.00,77667, dime,1,-0.00097847,1.00101,0.969687,dime. They are very small and they
oracle,1171,Mice can fit through a hole the size of a,-0.421729,-1.00,9453, quarter,0,1.93839,-1.00101,-0.969685,quarter.  The average mouse is
oracle,1171,Mice can fit through a hole the size of a,0.843458,+2.00,77667, dime,1,-0.970661,2.00202,1.93937,dime. They are very small and they
oracle,1171,Mice can fit through a hole the size of a,-0.843458,-2.00,9453, quarter,0,2.90808,-2.00202,-1.93937,quarter.  The average mouse is
md_full,1171,Mice can fit through a hole the size of a,0,+0.00,9453, quarter,0,0.968708,0,0,quarter.  The average mouse is
md_full,1171,Mice can fit through a hole the size of a,8.13335,+0.25,9453, quarter,0,1.21113,-0.250253,-0.242422,quarter. They are very small and they
md_full,1171,Mice can fit through a hole the size of a,-8.13335,-0.25,9453, quarter,0,0.726288,0.250251,0.24242,quarter.  The average mouse is
md_full,1171,Mice can fit through a hole the size of a,16.2667,+0.50,9453, quarter,0,1.45355,-0.500506,-0.484844,quarter. They are very small and they
md_full,1171,Mice can fit through a hole the size of a,-16.2667,-0.50,9453, quarter,0,0.483868,0.500502,0.48484,quarter.  The average mouse is
md_full,1171,Mice can fit through a hole the size of a,32.5334,+1.00,9453, quarter,0,1.93839,-1.00101,-0.969685,quarter. They are very small and they
md_full,1171,Mice can fit through a hole the size of a,-32.5334,-1.00,77667, dime,1,-0.000976562,1.00101,0.969685,dime.  That’s why it
md_full,1171,Mice can fit through a hole the size of a,65.0668,+2.00,9453, quarter,0,2.90808,-2.00202,-1.93937,quarter. They are very small and they
md_full,1171,Mice can fit through a hole the size of a,-65.0668,-2.00,109,\n\n,0,-0.970659,2.00201,1.93937,A) dime. B
oracle,2093,A fact about pregnancy is tha pregnant women often have insane mood,0,+0.00,70739, swings,0,9.52748,0,0,swings. This can be a result of
oracle,2093,A fact about pregnancy is tha pregnant women often have insane mood,1.07315,+0.25,70739, swings,0,7.14322,0.25025,2.38425,swings. This can be a result of
oracle,2093,A fact about pregnancy is tha pregnant women often have insane mood,-1.07315,-0.25,70739, swings,0,11.9117,-0.25025,-2.38425,swings. This can be a result of
oracle,2093,A fact about pregnancy is tha pregnant women often have insane mood,2.1463,+0.50,70739, swings,0,4.75898,0.5005,4.7685,swings. This can be a result of
oracle,2093,A fact about pregnancy is tha pregnant women often have insane mood,-2.1463,-0.50,70739, swings,0,14.296,-0.5005,-4.76851,swings. This can be very frustrating for
oracle,2093,A fact about pregnancy is tha pregnant women often have insane mood,4.2926,+1.00,4559, changes,1,-0.0095253,1.001,9.537,changes. It’s not just the
